sha256,group_id,group_size,SM_0_min,SM_0_max,SM_0_range,SM_20_min,SM_20_max,SM_20_range,LI_min,LI_max,moisture_classes_present,paths
75af8544493631632ecb26dbf0ebbaccebb83a95700602043d0f9d43d51d6261,sha256:75af854449363163,3,31,70,39,32,68,36,81,88,3;5;6,Soil_Labeled_Data/M_30_40/L_80_90/alluvial/z5720115869917_a1c0c0f135fb5443e070ba2cfa3f59b5.jpg;Soil_Labeled_Data/M_50_60/L_80_90/alluvial/z5720115869917_a1c0c0f135fb5443e070ba2cfa3f59b5.jpg;Soil_Labeled_Data/M_60_70/L_80_90/alluvial/z5720115869917_a1c0c0f135fb5443e070ba2cfa3f59b5.jpg
7c27eb594e080bb4138985853876a1ec96149a2328ca41c77d8d16a7120c46b6,sha256:7c27eb594e080bb4,4,14,19,5,16,19,3,92,100,1,Soil_Labeled_Data/M_10_20/L_90_100/alluvial/IMG_0794.JPG;Soil_Labeled_Data/M_10_20/L_90_100/alluvial/IMG_0795.JPG;Soil_Labeled_Data/M_10_20/L_90_100/alluvial/IMG_0797.JPG;Soil_Labeled_Data/M_10_20/L_90_100/alluvial/IMG_0798.JPG
8135a92cf1b73d22b6e345d3c2b34d93ef0ec1487efe4fb4b193d73d326db557,sha256:8135a92cf1b73d22,3,37,61,24,35,60,25,80,86,3;5;6,Soil_Labeled_Data/M_30_40/L_80_90/alluvial/z5720115908066_d971dc1911998ed5477394adeada3648.jpg;Soil_Labeled_Data/M_50_60/L_80_90/alluvial/z5720115908066_d971dc1911998ed5477394adeada3648.jpg;Soil_Labeled_Data/M_60_70/L_80_90/alluvial/z5720115908066_d971dc1911998ed5477394adeada3648.jpg
829953a83bc8f13d820098f719201103c7c52f6ee2e2dea7a03ec9a92c382984,sha256:829953a83bc8f13d,3,10,15,5,11,16,5,91,93,1,Soil_Labeled_Data/M_10_20/L_90_100/alluvial/IMG_0792.JPG;Soil_Labeled_Data/M_10_20/L_90_100/alluvial/IMG_0793.JPG;Soil_Labeled_Data/M_10_20/L_90_100/alluvial/IMG_0796.JPG
85901716749fa7f57af05ad4b6a317f26c6e420ba47d3b76e87ff45ecdfcd54d,sha256:85901716749fa7f5,3,30,57,27,31,58,27,90,100,3;4;5,Soil_Labeled_Data/M_30_40/L_90_100/alluvial/z5720142667793_1b68b578374e456dec54d6a7942a78c6.jpg;Soil_Labeled_Data/M_40_50/L_90_100/alluvial/z5720142667793_1b68b578374e456dec54d6a7942a78c6.jpg;Soil_Labeled_Data/M_50_60/L_90_100/alluvial/z5720142667793_1b68b578374e456dec54d6a7942a78c6.jpg
94810c6b3fdfa00d052e30ee95c826701f36d5f4d5e9255127c10e702b24802f,sha256:94810c6b3fdfa00d,2,31,55,24,33,56,23,95,99,3;5,Soil_Labeled_Data/M_30_40/L_90_100/alluvial/z5720143012313_856304851294ecc8b5397b9311a48d88.jpg;Soil_Labeled_Data/M_50_60/L_90_100/alluvial/z5720143012313_856304851294ecc8b5397b9311a48d88.jpg
9650caa2b1d13f950242ad63651c99f623a0fd736adc8468372e2f4148af1032,sha256:9650caa2b1d13f95,2,37,55,18,36,53,17,90,92,3;5,Soil_Labeled_Data/M_30_40/L_90_100/alluvial/z5720143191868_a2e1d248c34ba593baf30b4defe0d1dd.jpg;Soil_Labeled_Data/M_50_60/L_90_100/alluvial/z5720143191868_a2e1d248c34ba593baf30b4defe0d1dd.jpg
9905aa20c91ef10e1318eef77539884be05c4c10b902e962b74c76325f6724c8,sha256:9905aa20c91ef10e,3,31,52,21,29,53,24,96,100,3;4;5,Soil_Labeled_Data/M_30_40/L_90_100/alluvial/z5720143165808_c048ad1ab07ddbb36a302d65772e88c8.jpg;Soil_Labeled_Data/M_40_50/L_90_100/alluvial/z5720143165808_c048ad1ab07ddbb36a302d65772e88c8.jpg;Soil_Labeled_Data/M_50_60/L_90_100/alluvial/z5720143165808_c048ad1ab07ddbb36a302d65772e88c8.jpg
9a626aede8c742d3909a22277e5a046d567ff352bc7d86b1afa44be176987d0f,sha256:9a626aede8c742d3,3,31,63,32,30,64,34,86,89,3;5;6,Soil_Labeled_Data/M_30_40/L_80_90/alluvial/z5720115800429_ff01c46a0bb2fd04a0bcfaa21477768c.jpg;Soil_Labeled_Data/M_50_60/L_80_90/alluvial/z5720115800429_ff01c46a0bb2fd04a0bcfaa21477768c.jpg;Soil_Labeled_Data/M_60_70/L_80_90/alluvial/z5720115800429_ff01c46a0bb2fd04a0bcfaa21477768c.jpg
a1d2f3dcbdb6deac51cc360ad72c91414c27231fa74aed3ec9a80915a864b819,sha256:a1d2f3dcbdb6deac,2,34,56,22,33,58,25,92,92,3;5,Soil_Labeled_Data/M_30_40/L_90_100/alluvial/z5720143115861_efed4878483a1f7e23629c7386a6d09d.jpg;Soil_Labeled_Data/M_50_60/L_90_100/alluvial/z5720143115861_efed4878483a1f7e23629c7386a6d09d.jpg
ad01962ff96b59c7f2e01deccfcfb26565289a1874d4cb18321c4c670dac82f3,sha256:ad01962ff96b59c7,3,37,50,13,36,51,15,90,94,3;4;5,Soil_Labeled_Data/M_30_40/L_90_100/alluvial/z5720143090213_a08a9f5a97cdc656748cb7fa75edf338.jpg;Soil_Labeled_Data/M_40_50/L_90_100/alluvial/z5720143090213_a08a9f5a97cdc656748cb7fa75edf338.jpg;Soil_Labeled_Data/M_50_60/L_90_100/alluvial/z5720143090213_a08a9f5a97cdc656748cb7fa75edf338.jpg
ade40a65a23d306319ba2fadfc9c4d5eeaf049ca4046bd5fc41ea69a2e373fa9,sha256:ade40a65a23d3063,3,40,51,11,42,50,8,92,97,3;4;5,Soil_Labeled_Data/M_30_40/L_90_100/alluvial/z5720143180627_8991003c4168f68248331f4ae3cb75d1.jpg;Soil_Labeled_Data/M_40_50/L_90_100/alluvial/z5720143180627_8991003c4168f68248331f4ae3cb75d1.jpg;Soil_Labeled_Data/M_50_60/L_90_100/alluvial/z5720143180627_8991003c4168f68248331f4ae3cb75d1.jpg
af54ceee1e6ea7ef7a866eb66ec5f0714bf947da83ee39e15e5e8cab789a92e8,sha256:af54ceee1e6ea7ef,3,32,70,38,33,69,36,88,90,3;5;6,Soil_Labeled_Data/M_30_40/L_80_90/alluvial/z5720115833149_ed8419086eec88fa81ae29e84dd8ee29.jpg;Soil_Labeled_Data/M_50_60/L_80_90/alluvial/z5720115833149_ed8419086eec88fa81ae29e84dd8ee29.jpg;Soil_Labeled_Data/M_60_70/L_80_90/alluvial/z5720115833149_ed8419086eec88fa81ae29e84dd8ee29.jpg
b2d381061e86750c596ea90c359ce7104609d9708781c75c65ed9c99f3190381,sha256:b2d381061e86750c,3,14,19,5,13,18,5,70,80,1,Soil_Labeled_Data/M_10_20/L_70_80/alluvial/IMG_0702.JPG;Soil_Labeled_Data/M_10_20/L_70_80/alluvial/IMG_0705.JPG;Soil_Labeled_Data/M_10_20/L_70_80/alluvial/IMG_0706.JPG
b31a63d28142efd56024bd0e38ee4b1118ecaf2eca2f4cb0c721d8c954f5bcb9,sha256:b31a63d28142efd5,4,34,62,28,35,62,27,82,90,3;4;5;6,Soil_Labeled_Data/M_30_40/L_80_90/alluvial/z5720115942754_8be2331cdea2f08eaa20a4d16f47702e.jpg;Soil_Labeled_Data/M_40_50/L_80_90/alluvial/z5720115942754_8be2331cdea2f08eaa20a4d16f47702e.jpg;Soil_Labeled_Data/M_50_60/L_80_90/alluvial/z5720115942754_8be2331cdea2f08eaa20a4d16f47702e.jpg;Soil_Labeled_Data/M_60_70/L_80_90/alluvial/z5720115942754_8be2331cdea2f08eaa20a4d16f47702e.jpg
c7569787e74310048696c82571cedd2cb89e66b961605a3059711b281284b503,sha256:c7569787e7431004,3,36,69,33,38,67,29,84,90,3;5;6,Soil_Labeled_Data/M_30_40/L_80_90/alluvial/z5720115653272_3de34aa127a04a50ac17b19f6c26e982.jpg;Soil_Labeled_Data/M_50_60/L_80_90/alluvial/z5720115653272_3de34aa127a04a50ac17b19f6c26e982.jpg;Soil_Labeled_Data/M_60_70/L_80_90/alluvial/z5720115653272_3de34aa127a04a50ac17b19f6c26e982.jpg
ca85bf8ff5a35539fefbb847acbe12f7f32ecbe248c145a844b511e7bc339c0a,sha256:ca85bf8ff5a35539,2,37,54,17,38,52,14,90,90,3;5,Soil_Labeled_Data/M_30_40/L_90_100/alluvial/z5720142944680_d4f5166a1f72d6cb4ddfe9316119b767.jpg;Soil_Labeled_Data/M_50_60/L_90_100/alluvial/z5720142944680_d4f5166a1f72d6cb4ddfe9316119b767.jpg
cbcffdd73df06e0b072756c13f9f0563e8072b9b0b5a5f3023123493706fc4bd,sha256:cbcffdd73df06e0b,2,37,58,21,35,57,22,95,95,3;5,Soil_Labeled_Data/M_30_40/L_90_100/alluvial/z5720142535965_7f8fdeed5b9f25c4800540f4c7109134.jpg;Soil_Labeled_Data/M_50_60/L_90_100/alluvial/z5720142535965_7f8fdeed5b9f25c4800540f4c7109134.jpg
d27c8f193d45dc320ed6bfa0639a1374901b85f74b60878fbb42dd02333cc0a0,sha256:d27c8f193d45dc32,4,33,70,37,33,72,39,80,84,3;4;5;6,Soil_Labeled_Data/M_30_40/L_80_90/alluvial/z5720116085194_b4c6d844bda5f6a7533e048925576cdd.jpg;Soil_Labeled_Data/M_40_50/L_80_90/alluvial/z5720116085194_b4c6d844bda5f6a7533e048925576cdd.jpg;Soil_Labeled_Data/M_50_60/L_80_90/alluvial/z5720116085194_b4c6d844bda5f6a7533e048925576cdd.jpg;Soil_Labeled_Data/M_60_70/L_80_90/alluvial/z5720116085194_b4c6d844bda5f6a7533e048925576cdd.jpg
d2d846cd4e716f7399ac6b2fe8d1b99b43285e9b37aad353e7b55b7f2ba4a9b0,sha256:d2d846cd4e716f73,3,30,65,35,31,67,36,80,81,3;5;6,Soil_Labeled_Data/M_30_40/L_80_90/alluvial/z5720115969160_90e7c8fe51469c6537b93b0b5051f46d.jpg;Soil_Labeled_Data/M_50_60/L_80_90/alluvial/z5720115969160_90e7c8fe51469c6537b93b0b5051f46d.jpg;Soil_Labeled_Data/M_60_70/L_80_90/alluvial/z5720115969160_90e7c8fe51469c6537b93b0b5051f46d.jpg
da67778185dbfeb35e18acd99a4b43850e693e80c558855b36f342b4d4360d30,sha256:da67778185dbfeb3,4,30,68,38,30,67,37,83,89,3;4;5;6,Soil_Labeled_Data/M_30_40/L_80_90/alluvial/z5720115687004_c7046b6ed304fe8ccbb693c1af288980.jpg;Soil_Labeled_Data/M_40_50/L_80_90/alluvial/z5720115687004_c7046b6ed304fe8ccbb693c1af288980.jpg;Soil_Labeled_Data/M_50_60/L_80_90/alluvial/z5720115687004_c7046b6ed304fe8ccbb693c1af288980.jpg;Soil_Labeled_Data/M_60_70/L_80_90/alluvial/z5720115687004_c7046b6ed304fe8ccbb693c1af288980.jpg
e71702166efad6b72f962a665ebf221f6f5a689ab58d63bea2d33f3b5bea0a06,sha256:e71702166efad6b7,2,13,20,7,12,20,8,80,84,1,Soil_Labeled_Data/M_10_20/L_80_90/alluvial/IMG_0751.JPG;Soil_Labeled_Data/M_10_20/L_80_90/alluvial/IMG_0752.JPG
e7d94a42af104da7bdf576e1af439aa873e09e789ad3de009fe5f51e79b02b3f,sha256:e7d94a42af104da7,3,36,70,34,37,68,31,80,89,3;5;6,Soil_Labeled_Data/M_30_40/L_80_90/alluvial/z5720116069849_bcc6949c92dd61a3b67028202e4c3c2a.jpg;Soil_Labeled_Data/M_50_60/L_80_90/alluvial/z5720116069849_bcc6949c92dd61a3b67028202e4c3c2a.jpg;Soil_Labeled_Data/M_60_70/L_80_90/alluvial/z5720116069849_bcc6949c92dd61a3b67028202e4c3c2a.jpg
f6f490aa8c06c3f394c6af6b860648034089de50325cbb7a66c6e52da0ace352,sha256:f6f490aa8c06c3f3,3,32,52,20,31,54,23,94,98,3;4;5,Soil_Labeled_Data/M_30_40/L_90_100/alluvial/z5720142803519_7e7073968e86e15707d41ef2d1f8a1cb.jpg;Soil_Labeled_Data/M_40_50/L_90_100/alluvial/z5720142803519_7e7073968e86e15707d41ef2d1f8a1cb.jpg;Soil_Labeled_Data/M_50_60/L_90_100/alluvial/z5720142803519_7e7073968e86e15707d41ef2d1f8a1cb.jpg
f78a84e7b2a6e850c20e699b6715e85009c356da4b0001f92227be59ff662b36,sha256:f78a84e7b2a6e850,4,30,67,37,32,66,34,83,88,3;4;5;6,Soil_Labeled_Data/M_30_40/L_80_90/alluvial/z5720115994271_6ee046f5429b540fab54644ee387967d.jpg;Soil_Labeled_Data/M_40_50/L_80_90/alluvial/z5720115994271_6ee046f5429b540fab54644ee387967d.jpg;Soil_Labeled_Data/M_50_60/L_80_90/alluvial/z5720115994271_6ee046f5429b540fab54644ee387967d.jpg;Soil_Labeled_Data/M_60_70/L_80_90/alluvial/z5720115994271_6ee046f5429b540fab54644ee387967d.jpg
