duplicate_group_id,sha256,group_size,classification,conflicting_fields,missing_metadata_fields,SM_0_values,SM_20_values,light_value_values,moisture_class_values,moisture_bin_values,light_bin_values,soil_type_values,capture_session_values,source_group_values,phase2_near_group_ids,member_sample_ids,member_relative_paths,resolution
sha256:28778be0bae35396,28778be0bae3539683f2940129076cf100dfde68b5c5159cc728f519231fc91e,2,CONFLICTING_LABEL,SM_0;SM_20;light_value;moisture_class;moisture_bin,capture_session;source_group,38;53,40;55,90;91,3;5,M_30_40;M_50_60,L_90_100,alluvial,UNAVAILABLE_NOT_IN_LABELS,UNAVAILABLE_NOT_IN_LABELS,phash:d2cf4d307ee06b51,4390dc82b013d8bfbe57;b84800b6df810575baf3,Soil_Labeled_Data/M_30_40/L_90_100/alluvial/z5720143154446_d6236257ccb21858bbf8354df5e10a69.jpg;Soil_Labeled_Data/M_50_60/L_90_100/alluvial/z5720143154446_d6236257ccb21858bbf8354df5e10a69.jpg,DO_NOT_AUTO_RESOLVE
sha256:323a8ac7e9832d5f,323a8ac7e9832d5f0b28a04df602dc3fc509c5d0fbaf03cc9c92e70db03d6391,2,CONFLICTING_LABEL,SM_0;SM_20;light_value;moisture_class;moisture_bin,capture_session;source_group,39;60,40;60,90;95,3;5,M_30_40;M_50_60,L_90_100,alluvial,UNAVAILABLE_NOT_IN_LABELS,UNAVAILABLE_NOT_IN_LABELS,phash:26fda731e9de7d40,3bea9981114ac4005224;4b8b2fd7093587dfecc6,Soil_Labeled_Data/M_30_40/L_90_100/alluvial/z5720143078801_9e7f2d067ac7542cc6f3b8a5bd731451.jpg;Soil_Labeled_Data/M_50_60/L_90_100/alluvial/z5720143078801_9e7f2d067ac7542cc6f3b8a5bd731451.jpg,DO_NOT_AUTO_RESOLVE
sha256:335f93b7096fabc3,335f93b7096fabc3a68114e8059a8e21ce0d591798de4cde573718489111b02b,2,CONFLICTING_LABEL,SM_0;SM_20;light_value,capture_session;source_group,14;16,15;16,84;90,1,M_10_20,L_80_90,alluvial,UNAVAILABLE_NOT_IN_LABELS,UNAVAILABLE_NOT_IN_LABELS,phash:b87de173de4bd55d,98fe83ba4a875d38ffc8;c8707575fb8da1c3391a,Soil_Labeled_Data/M_10_20/L_80_90/alluvial/IMG_0760.JPG;Soil_Labeled_Data/M_10_20/L_80_90/alluvial/IMG_0761.JPG,DO_NOT_AUTO_RESOLVE
sha256:356b4f61f11c3f36,356b4f61f11c3f3639169e6ac8da9d34ad8d408c85fcafa9b03665c25a2c2d22,3,CONFLICTING_LABEL,SM_0;SM_20;light_value;moisture_class;moisture_bin,capture_session;source_group,32;57;68,33;57;69,82;83;84,3;5;6,M_30_40;M_50_60;M_60_70,L_80_90,alluvial,UNAVAILABLE_NOT_IN_LABELS,UNAVAILABLE_NOT_IN_LABELS,phash:550f17b8a00c5d3d,8dcf98fa3990cc1b15db;b50cd4d731ebc4b0bb52;f2abc8a73901eae9ad9e,Soil_Labeled_Data/M_30_40/L_80_90/alluvial/z5720116028219_3547ed7fc4e58ca77d0a9c04ad52a29b.jpg;Soil_Labeled_Data/M_50_60/L_80_90/alluvial/z5720116028219_3547ed7fc4e58ca77d0a9c04ad52a29b.jpg;Soil_Labeled_Data/M_60_70/L_80_90/alluvial/z5720116028219_3547ed7fc4e58ca77d0a9c04ad52a29b.jpg,DO_NOT_AUTO_RESOLVE
sha256:524dd00cf9334bab,524dd00cf9334bab01402f9145428779b1cb96912a8f0c138dbce8e413024df2,2,CONFLICTING_LABEL,SM_0;SM_20;light_value;moisture_class;moisture_bin,capture_session;source_group,32;54,34;54,94;96,3;5,M_30_40;M_50_60,L_90_100,alluvial,UNAVAILABLE_NOT_IN_LABELS,UNAVAILABLE_NOT_IN_LABELS,phash:11f61dd650eab9c1,a50c89dd085ce3fe6f27;bf74757ce16828e09e77,Soil_Labeled_Data/M_30_40/L_90_100/alluvial/z5720143138433_5a1eba502028ab521a9ccc45f968b42d.jpg;Soil_Labeled_Data/M_50_60/L_90_100/alluvial/z5720143138433_5a1eba502028ab521a9ccc45f968b42d.jpg,DO_NOT_AUTO_RESOLVE
sha256:55f747c71cf8d43b,55f747c71cf8d43b96b8f3014da9b1f6dca9a9c5be1fbac3617b12384bcd8350,3,CONFLICTING_LABEL,SM_0;SM_20;light_value,capture_session;source_group,7;9,10;14;8,31;32,0,M_0_10,L_30_40,alluvial,UNAVAILABLE_NOT_IN_LABELS,UNAVAILABLE_NOT_IN_LABELS,phash:6a494aa4d5d4d5b1,1dbecdb9be1709b0282a;6a47b118da32c219ada5;cb1d7459f8b6effeffb0,Soil_Labeled_Data/M_0_10/L_30_40/alluvial/IMG_0096.JPG;Soil_Labeled_Data/M_0_10/L_30_40/alluvial/IMG_0097.JPG;Soil_Labeled_Data/M_0_10/L_30_40/alluvial/IMG_0115.JPG,DO_NOT_AUTO_RESOLVE
sha256:5873f29550302194,5873f295503021948402983e0b69c19684e53795933b1f0e7413811e5fe0efb1,4,CONFLICTING_LABEL,SM_0;SM_20;light_value;moisture_class;moisture_bin,capture_session;source_group,33;43;52;64,33;45;51;63,80;83;86,3;4;5;6,M_30_40;M_40_50;M_50_60;M_60_70,L_80_90,alluvial,UNAVAILABLE_NOT_IN_LABELS,UNAVAILABLE_NOT_IN_LABELS,phash:66180ed7d7b26e4d,350b3ed85911a4c6b846;532d792db42125e850fb;801b31b572b461f31f88;8646a555a465a830b281,Soil_Labeled_Data/M_30_40/L_80_90/alluvial/z5720116056023_3d3d361e4d7255ed7de4195fa640e456.jpg;Soil_Labeled_Data/M_40_50/L_80_90/alluvial/z5720116056023_3d3d361e4d7255ed7de4195fa640e456.jpg;Soil_Labeled_Data/M_50_60/L_80_90/alluvial/z5720116056023_3d3d361e4d7255ed7de4195fa640e456.jpg;Soil_Labeled_Data/M_60_70/L_80_90/alluvial/z5720116056023_3d3d361e4d7255ed7de4195fa640e456.jpg,DO_NOT_AUTO_RESOLVE
sha256:5cf7cb08c11a60bc,5cf7cb08c11a60bc59b83cc1cb413d9026009f6b151dbbaf84695108d9c113d4,2,CONFLICTING_LABEL,SM_0;SM_20;light_value,capture_session;source_group,51;57,50;57,72;73,5,M_50_60,L_70_80,alluvial,UNAVAILABLE_NOT_IN_LABELS,UNAVAILABLE_NOT_IN_LABELS,phash:da003ea3a8a9acb4,004206956dc021dfbb9e;27c5fe11e0f77cf5d3ba,Soil_Labeled_Data/M_50_60/L_70_80/alluvial/IMG_0705_M_10_20_light_brown_M_30_40_light_brown.jpg;Soil_Labeled_Data/M_50_60/L_70_80/alluvial/IMG_0706_M_10_20_light_brown_M_30_40_light_brown.jpg,DO_NOT_AUTO_RESOLVE
sha256:5d994566c0b17998,5d994566c0b179988accce70d34367cca75f3d938d184b5d7c8c9558266443ca,2,CONFLICTING_LABEL,SM_0;SM_20;light_value;moisture_class;moisture_bin,capture_session;source_group,33;60,31;60,93;99,3;5,M_30_40;M_50_60,L_90_100,alluvial,UNAVAILABLE_NOT_IN_LABELS,UNAVAILABLE_NOT_IN_LABELS,phash:37f43628cfd7ed16,0f6f0cd07b1dfd141d3d;8904fdbf6bb012585452,Soil_Labeled_Data/M_30_40/L_90_100/alluvial/z5720142873591_1e258c120dc7fd38c4364dc88310cf49.jpg;Soil_Labeled_Data/M_50_60/L_90_100/alluvial/z5720142873591_1e258c120dc7fd38c4364dc88310cf49.jpg,DO_NOT_AUTO_RESOLVE
sha256:6dd61e46951640ce,6dd61e46951640ce81a122981b61d8e716bfb01a13aa1ca5643228cd448c10c7,3,CONFLICTING_LABEL,SM_0;SM_20;light_value;moisture_class;moisture_bin,capture_session;source_group,40;51;70,40;53;69,86;87;88,3;5;6,M_30_40;M_50_60;M_60_70,L_80_90,alluvial,UNAVAILABLE_NOT_IN_LABELS,UNAVAILABLE_NOT_IN_LABELS,phash:e7a7071bb960f512,41f37999934d0120eb8d;4df640380f8d7d668817;b71ca4caa73acc7027e8,Soil_Labeled_Data/M_30_40/L_80_90/alluvial/z5720116009994_7473d14d835476f47632659bffa27b72.jpg;Soil_Labeled_Data/M_50_60/L_80_90/alluvial/z5720116009994_7473d14d835476f47632659bffa27b72.jpg;Soil_Labeled_Data/M_60_70/L_80_90/alluvial/z5720116009994_7473d14d835476f47632659bffa27b72.jpg,DO_NOT_AUTO_RESOLVE
sha256:7230e1cf8fc623e3,7230e1cf8fc623e3ff5e052ad819fe35ff56d2740228ea685e65aeff6f9082f1,3,CONFLICTING_LABEL,SM_0;SM_20;light_value;moisture_class;moisture_bin,capture_session;source_group,37;60;70,38;58;68,84;88;90,3;5;6,M_30_40;M_50_60;M_60_70,L_80_90,alluvial,UNAVAILABLE_NOT_IN_LABELS,UNAVAILABLE_NOT_IN_LABELS,phash:7fef4dde43e48360,98c66d5a4ed200125a0c;a0eec7610029ef30c836;e2709b3c0660d76f7441,Soil_Labeled_Data/M_30_40/L_80_90/alluvial/z5720116040527_64efc6d26d1ee063c31ac7c808603d38.jpg;Soil_Labeled_Data/M_50_60/L_80_90/alluvial/z5720116040527_64efc6d26d1ee063c31ac7c808603d38.jpg;Soil_Labeled_Data/M_60_70/L_80_90/alluvial/z5720116040527_64efc6d26d1ee063c31ac7c808603d38.jpg,DO_NOT_AUTO_RESOLVE
sha256:75af854449363163,75af8544493631632ecb26dbf0ebbaccebb83a95700602043d0f9d43d51d6261,3,CONFLICTING_LABEL,SM_0;SM_20;light_value;moisture_class;moisture_bin,capture_session;source_group,31;59;70,32;58;68,81;83;88,3;5;6,M_30_40;M_50_60;M_60_70,L_80_90,alluvial,UNAVAILABLE_NOT_IN_LABELS,UNAVAILABLE_NOT_IN_LABELS,phash:95f443aa52a50ebf,5399127238839d918550;5a2037c36dfb748735e9;ec7144cf11d7268e9efb,Soil_Labeled_Data/M_30_40/L_80_90/alluvial/z5720115869917_a1c0c0f135fb5443e070ba2cfa3f59b5.jpg;Soil_Labeled_Data/M_50_60/L_80_90/alluvial/z5720115869917_a1c0c0f135fb5443e070ba2cfa3f59b5.jpg;Soil_Labeled_Data/M_60_70/L_80_90/alluvial/z5720115869917_a1c0c0f135fb5443e070ba2cfa3f59b5.jpg,DO_NOT_AUTO_RESOLVE
sha256:7c27eb594e080bb4,7c27eb594e080bb4138985853876a1ec96149a2328ca41c77d8d16a7120c46b6,4,CONFLICTING_LABEL,SM_0;SM_20;light_value,capture_session;source_group,14;18;19,16;17;18;19,100;92;93;94,1,M_10_20,L_90_100,alluvial,UNAVAILABLE_NOT_IN_LABELS,UNAVAILABLE_NOT_IN_LABELS,phash:16313a78b8c6de56,239b1284f6967ca93367;2a70b57ccb3201e1aad8;96446b279c51e8b6689e;df3b97bcb6afc10f523c,Soil_Labeled_Data/M_10_20/L_90_100/alluvial/IMG_0794.JPG;Soil_Labeled_Data/M_10_20/L_90_100/alluvial/IMG_0795.JPG;Soil_Labeled_Data/M_10_20/L_90_100/alluvial/IMG_0797.JPG;Soil_Labeled_Data/M_10_20/L_90_100/alluvial/IMG_0798.JPG,DO_NOT_AUTO_RESOLVE
sha256:8135a92cf1b73d22,8135a92cf1b73d22b6e345d3c2b34d93ef0ec1487efe4fb4b193d73d326db557,3,CONFLICTING_LABEL,SM_0;SM_20;light_value;moisture_class;moisture_bin,capture_session;source_group,37;58;61,35;59;60,80;86,3;5;6,M_30_40;M_50_60;M_60_70,L_80_90,alluvial,UNAVAILABLE_NOT_IN_LABELS,UNAVAILABLE_NOT_IN_LABELS,phash:a9a655b4c2404eed,7a56d64b2d566aa9695e;83afc351ef548f041dd0;948cbb9c21364e36636e,Soil_Labeled_Data/M_30_40/L_80_90/alluvial/z5720115908066_d971dc1911998ed5477394adeada3648.jpg;Soil_Labeled_Data/M_50_60/L_80_90/alluvial/z5720115908066_d971dc1911998ed5477394adeada3648.jpg;Soil_Labeled_Data/M_60_70/L_80_90/alluvial/z5720115908066_d971dc1911998ed5477394adeada3648.jpg,DO_NOT_AUTO_RESOLVE
sha256:829953a83bc8f13d,829953a83bc8f13d820098f719201103c7c52f6ee2e2dea7a03ec9a92c382984,3,CONFLICTING_LABEL,SM_0;SM_20;light_value,capture_session;source_group,10;14;15,11;14;16,91;93,1,M_10_20,L_90_100,alluvial,UNAVAILABLE_NOT_IN_LABELS,UNAVAILABLE_NOT_IN_LABELS,phash:b51105d1d4146b87,58cec573a41504f38dd7;92655a2a9f7aca7a641b;a7de86662a6d2c478719,Soil_Labeled_Data/M_10_20/L_90_100/alluvial/IMG_0792.JPG;Soil_Labeled_Data/M_10_20/L_90_100/alluvial/IMG_0793.JPG;Soil_Labeled_Data/M_10_20/L_90_100/alluvial/IMG_0796.JPG,DO_NOT_AUTO_RESOLVE
sha256:85901716749fa7f5,85901716749fa7f57af05ad4b6a317f26c6e420ba47d3b76e87ff45ecdfcd54d,3,CONFLICTING_LABEL,SM_0;SM_20;light_value;moisture_class;moisture_bin,capture_session;source_group,30;43;57,31;45;58,100;90;91,3;4;5,M_30_40;M_40_50;M_50_60,L_90_100,alluvial,UNAVAILABLE_NOT_IN_LABELS,UNAVAILABLE_NOT_IN_LABELS,phash:c87437fc240e682d,0bc37eda3a1f9f7279f2;5806def9692b7eff87df;b51b5b44fc6870f6d578,Soil_Labeled_Data/M_30_40/L_90_100/alluvial/z5720142667793_1b68b578374e456dec54d6a7942a78c6.jpg;Soil_Labeled_Data/M_40_50/L_90_100/alluvial/z5720142667793_1b68b578374e456dec54d6a7942a78c6.jpg;Soil_Labeled_Data/M_50_60/L_90_100/alluvial/z5720142667793_1b68b578374e456dec54d6a7942a78c6.jpg,DO_NOT_AUTO_RESOLVE
sha256:94810c6b3fdfa00d,94810c6b3fdfa00d052e30ee95c826701f36d5f4d5e9255127c10e702b24802f,2,CONFLICTING_LABEL,SM_0;SM_20;light_value;moisture_class;moisture_bin,capture_session;source_group,31;55,33;56,95;99,3;5,M_30_40;M_50_60,L_90_100,alluvial,UNAVAILABLE_NOT_IN_LABELS,UNAVAILABLE_NOT_IN_LABELS,phash:9c51db259dcbbf83,5c75b54d520bda715cd1;967ff7012e4ac03f413f,Soil_Labeled_Data/M_30_40/L_90_100/alluvial/z5720143012313_856304851294ecc8b5397b9311a48d88.jpg;Soil_Labeled_Data/M_50_60/L_90_100/alluvial/z5720143012313_856304851294ecc8b5397b9311a48d88.jpg,DO_NOT_AUTO_RESOLVE
sha256:9650caa2b1d13f95,9650caa2b1d13f950242ad63651c99f623a0fd736adc8468372e2f4148af1032,2,CONFLICTING_LABEL,SM_0;SM_20;light_value;moisture_class;moisture_bin,capture_session;source_group,37;55,36;53,90;92,3;5,M_30_40;M_50_60,L_90_100,alluvial,UNAVAILABLE_NOT_IN_LABELS,UNAVAILABLE_NOT_IN_LABELS,phash:4629140a527a816d,680b31f6585af7088c07;c8faee8fb0285caf4888,Soil_Labeled_Data/M_30_40/L_90_100/alluvial/z5720143191868_a2e1d248c34ba593baf30b4defe0d1dd.jpg;Soil_Labeled_Data/M_50_60/L_90_100/alluvial/z5720143191868_a2e1d248c34ba593baf30b4defe0d1dd.jpg,DO_NOT_AUTO_RESOLVE
sha256:9905aa20c91ef10e,9905aa20c91ef10e1318eef77539884be05c4c10b902e962b74c76325f6724c8,3,CONFLICTING_LABEL,SM_0;SM_20;light_value;moisture_class;moisture_bin,capture_session;source_group,31;48;52,29;49;53,100;96;99,3;4;5,M_30_40;M_40_50;M_50_60,L_90_100,alluvial,UNAVAILABLE_NOT_IN_LABELS,UNAVAILABLE_NOT_IN_LABELS,phash:0285effacff0304c,0d7bdeb3138e8f4fb591;c8b7c04fd443f160cc9b;e2dcaba025409f3004e6,Soil_Labeled_Data/M_30_40/L_90_100/alluvial/z5720143165808_c048ad1ab07ddbb36a302d65772e88c8.jpg;Soil_Labeled_Data/M_40_50/L_90_100/alluvial/z5720143165808_c048ad1ab07ddbb36a302d65772e88c8.jpg;Soil_Labeled_Data/M_50_60/L_90_100/alluvial/z5720143165808_c048ad1ab07ddbb36a302d65772e88c8.jpg,DO_NOT_AUTO_RESOLVE
sha256:9a626aede8c742d3,9a626aede8c742d3909a22277e5a046d567ff352bc7d86b1afa44be176987d0f,3,CONFLICTING_LABEL,SM_0;SM_20;light_value;moisture_class;moisture_bin,capture_session;source_group,31;53;63,30;51;64,86;87;89,3;5;6,M_30_40;M_50_60;M_60_70,L_80_90,alluvial,UNAVAILABLE_NOT_IN_LABELS,UNAVAILABLE_NOT_IN_LABELS,phash:6b288e421b9b59cc,37b10fe38ef3245b0c3d;78fb1b4ac2001158583b;f3e98c79441983bb4324,Soil_Labeled_Data/M_30_40/L_80_90/alluvial/z5720115800429_ff01c46a0bb2fd04a0bcfaa21477768c.jpg;Soil_Labeled_Data/M_50_60/L_80_90/alluvial/z5720115800429_ff01c46a0bb2fd04a0bcfaa21477768c.jpg;Soil_Labeled_Data/M_60_70/L_80_90/alluvial/z5720115800429_ff01c46a0bb2fd04a0bcfaa21477768c.jpg,DO_NOT_AUTO_RESOLVE
sha256:a1d2f3dcbdb6deac,a1d2f3dcbdb6deac51cc360ad72c91414c27231fa74aed3ec9a80915a864b819,2,CONFLICTING_LABEL,SM_0;SM_20;moisture_class;moisture_bin,capture_session;source_group,34;56,33;58,92,3;5,M_30_40;M_50_60,L_90_100,alluvial,UNAVAILABLE_NOT_IN_LABELS,UNAVAILABLE_NOT_IN_LABELS,phash:7b1d125189867c87,7940075ef00f6fb6e99a;a558ac5f3bb9b35369ee,Soil_Labeled_Data/M_30_40/L_90_100/alluvial/z5720143115861_efed4878483a1f7e23629c7386a6d09d.jpg;Soil_Labeled_Data/M_50_60/L_90_100/alluvial/z5720143115861_efed4878483a1f7e23629c7386a6d09d.jpg,DO_NOT_AUTO_RESOLVE
sha256:ad01962ff96b59c7,ad01962ff96b59c7f2e01deccfcfb26565289a1874d4cb18321c4c670dac82f3,3,CONFLICTING_LABEL,SM_0;SM_20;light_value;moisture_class;moisture_bin,capture_session;source_group,37;48;50,36;47;51,90;92;94,3;4;5,M_30_40;M_40_50;M_50_60,L_90_100,alluvial,UNAVAILABLE_NOT_IN_LABELS,UNAVAILABLE_NOT_IN_LABELS,phash:b0b7d47db6639108,1619b4ddca06207375ef;c9d19a6677d7aa1165e3;d548a2e31f798220120b,Soil_Labeled_Data/M_30_40/L_90_100/alluvial/z5720143090213_a08a9f5a97cdc656748cb7fa75edf338.jpg;Soil_Labeled_Data/M_40_50/L_90_100/alluvial/z5720143090213_a08a9f5a97cdc656748cb7fa75edf338.jpg;Soil_Labeled_Data/M_50_60/L_90_100/alluvial/z5720143090213_a08a9f5a97cdc656748cb7fa75edf338.jpg,DO_NOT_AUTO_RESOLVE
