checkpoint_id,scope,relative_path,sha256,artifact_component,pretraining_source,initialization_evidence,protocol_status,prospective_test_exact_sha_exposed_in_unlabeled_pool,prospective_test_near_group_exposed_in_unlabeled_pool,notes
sha256:e359a0cab46b163f90cb,CHECKPOINT_ROOT,checkpoints_VicReg_ImageNet_NEWXX/vicreg_mu_20.0_epoch_17.pth,e359a0cab46b163f90cb78ea3e2c8c890e378b74b734e28db020741ec8a4a7cd,PARTIAL_STATE,UNKNOWN,Directory name is not sufficient provenance,PROVENANCE_UNKNOWN,197,238,Soil unlabeled pretraining cannot be called completely held-out inductive when prospective test images/groups overlap its pool.
sha256:7971d130c457447b0706,CHECKPOINT_ROOT,checkpoints_VicReg_ImageNet_NEWXX/vicreg_mu_20.0_epoch_18.pth,7971d130c457447b0706e967ff1e5d0e5ae93ab2bc2ae97ebf2f5f5bb488ae59,PARTIAL_STATE,UNKNOWN,Directory name is not sufficient provenance,PROVENANCE_UNKNOWN,197,238,Soil unlabeled pretraining cannot be called completely held-out inductive when prospective test images/groups overlap its pool.
sha256:168822e958b7292c4649,CHECKPOINT_ROOT,checkpoints_VicReg_ImageNet_NEWXX/vicreg_mu_20.0_epoch_19.pth,168822e958b7292c464977ad0dd374ab01fadfa552371cd29ba007bdda9a7d17,PARTIAL_STATE,UNKNOWN,Directory name is not sufficient provenance,PROVENANCE_UNKNOWN,197,238,Soil unlabeled pretraining cannot be called completely held-out inductive when prospective test images/groups overlap its pool.
sha256:7b9ebca45e2f0b2d8a13,CHECKPOINT_ROOT,checkpoints_VicReg_ImageNet_NEWXX/vicreg_mu_20.0_epoch_2.pth,7b9ebca45e2f0b2d8a13b97d9ff586fd42b2d28af763175e6a278cadc03c3923,PARTIAL_STATE,UNKNOWN,Directory name is not sufficient provenance,PROVENANCE_UNKNOWN,197,238,Soil unlabeled pretraining cannot be called completely held-out inductive when prospective test images/groups overlap its pool.
sha256:70a8ca1962f69a12f4a2,CHECKPOINT_ROOT,checkpoints_VicReg_ImageNet_NEWXX/vicreg_mu_20.0_epoch_20.pth,70a8ca1962f69a12f4a212aead577c88cd66bc27f24dad549a3dcf385e229384,PARTIAL_STATE,UNKNOWN,Directory name is not sufficient provenance,PROVENANCE_UNKNOWN,197,238,Soil unlabeled pretraining cannot be called completely held-out inductive when prospective test images/groups overlap its pool.
sha256:4a83a3b7a1dbf2e2fdfa,CHECKPOINT_ROOT,checkpoints_VicReg_ImageNet_NEWXX/vicreg_mu_20.0_epoch_21.pth,4a83a3b7a1dbf2e2fdfa20057a5700d494d8e44384658c03084259efb3e3ccf0,PARTIAL_STATE,UNKNOWN,Directory name is not sufficient provenance,PROVENANCE_UNKNOWN,197,238,Soil unlabeled pretraining cannot be called completely held-out inductive when prospective test images/groups overlap its pool.
sha256:3b0a0108c78960824c9c,CHECKPOINT_ROOT,checkpoints_VicReg_ImageNet_NEWXX/vicreg_mu_20.0_epoch_22.pth,3b0a0108c78960824c9c739b95287036f94dd99445ed691bf8bd1ce18b9b1125,PARTIAL_STATE,UNKNOWN,Directory name is not sufficient provenance,PROVENANCE_UNKNOWN,197,238,Soil unlabeled pretraining cannot be called completely held-out inductive when prospective test images/groups overlap its pool.
sha256:a87001c1f3854766678b,CHECKPOINT_ROOT,checkpoints_VicReg_ImageNet_NEWXX/vicreg_mu_20.0_epoch_23.pth,a87001c1f3854766678b37fb7b03e8dabb24fc16f0c168e125bc4df38dd65b82,PARTIAL_STATE,UNKNOWN,Directory name is not sufficient provenance,PROVENANCE_UNKNOWN,197,238,Soil unlabeled pretraining cannot be called completely held-out inductive when prospective test images/groups overlap its pool.
sha256:6d32f57aa640b5d8efcc,CHECKPOINT_ROOT,checkpoints_VicReg_ImageNet_NEWXX/vicreg_mu_20.0_epoch_24.pth,6d32f57aa640b5d8efccfe14e0dfcdfe12d81da8138b52b59e0afa2d5c7601af,PARTIAL_STATE,UNKNOWN,Directory name is not sufficient provenance,PROVENANCE_UNKNOWN,197,238,Soil unlabeled pretraining cannot be called completely held-out inductive when prospective test images/groups overlap its pool.
sha256:7511a30763131fe0b118,CHECKPOINT_ROOT,checkpoints_VicReg_ImageNet_NEWXX/vicreg_mu_20.0_epoch_25.pth,7511a30763131fe0b118d4581ef14626e3bbd26783245946be1b78ab501edc14,PARTIAL_STATE,UNKNOWN,Directory name is not sufficient provenance,PROVENANCE_UNKNOWN,197,238,Soil unlabeled pretraining cannot be called completely held-out inductive when prospective test images/groups overlap its pool.
sha256:48872246e53da051fbf5,CHECKPOINT_ROOT,checkpoints_VicReg_ImageNet_NEWXX/vicreg_mu_20.0_epoch_26.pth,48872246e53da051fbf530220bdb9facd23453b1982ab267f23c14e34fa592f6,PARTIAL_STATE,UNKNOWN,Directory name is not sufficient provenance,PROVENANCE_UNKNOWN,197,238,Soil unlabeled pretraining cannot be called completely held-out inductive when prospective test images/groups overlap its pool.
sha256:4a0df05effb52b39b5cb,CHECKPOINT_ROOT,checkpoints_VicReg_ImageNet_NEWXX/vicreg_mu_20.0_epoch_27.pth,4a0df05effb52b39b5cb77a6b886ab8b97074c9ba05b9ea1f5be797ab8ce21c3,PARTIAL_STATE,UNKNOWN,Directory name is not sufficient provenance,PROVENANCE_UNKNOWN,197,238,Soil unlabeled pretraining cannot be called completely held-out inductive when prospective test images/groups overlap its pool.
sha256:b34cde1cd57bbb709d40,CHECKPOINT_ROOT,checkpoints_VicReg_ImageNet_NEWXX/vicreg_mu_20.0_epoch_28.pth,b34cde1cd57bbb709d408ccc21ae620de6905268468a3a823208917d90167ef0,PARTIAL_STATE,UNKNOWN,Directory name is not sufficient provenance,PROVENANCE_UNKNOWN,197,238,Soil unlabeled pretraining cannot be called completely held-out inductive when prospective test images/groups overlap its pool.
sha256:f89676bb0c3ef9119a9b,CHECKPOINT_ROOT,checkpoints_VicReg_ImageNet_NEWXX/vicreg_mu_20.0_epoch_29.pth,f89676bb0c3ef9119a9bc7bdbc68ee73674ccc222b70d04c8a85cace317fd58a,PARTIAL_STATE,UNKNOWN,Directory name is not sufficient provenance,PROVENANCE_UNKNOWN,197,238,Soil unlabeled pretraining cannot be called completely held-out inductive when prospective test images/groups overlap its pool.
sha256:366b78c8992f5662d5ce,CHECKPOINT_ROOT,checkpoints_VicReg_ImageNet_NEWXX/vicreg_mu_20.0_epoch_3.pth,366b78c8992f5662d5ce77b62d991f2f64448a8fb3bda1feca1d47b172b981ad,PARTIAL_STATE,UNKNOWN,Directory name is not sufficient provenance,PROVENANCE_UNKNOWN,197,238,Soil unlabeled pretraining cannot be called completely held-out inductive when prospective test images/groups overlap its pool.
sha256:ea54f48c2f224211c46e,CHECKPOINT_ROOT,checkpoints_VicReg_ImageNet_NEWXX/vicreg_mu_20.0_epoch_30.pth,ea54f48c2f224211c46ec4f4871818ba29cbbd98da0abdd733ecd332cd688ad6,PARTIAL_STATE,UNKNOWN,Directory name is not sufficient provenance,PROVENANCE_UNKNOWN,197,238,Soil unlabeled pretraining cannot be called completely held-out inductive when prospective test images/groups overlap its pool.
sha256:8fd468c2bd273036cbd2,CHECKPOINT_ROOT,checkpoints_VicReg_ImageNet_NEWXX/vicreg_mu_20.0_epoch_31.pth,8fd468c2bd273036cbd25efe3a282031b441bdc2947bd564d31e5c13d45f6f8a,PARTIAL_STATE,UNKNOWN,Directory name is not sufficient provenance,PROVENANCE_UNKNOWN,197,238,Soil unlabeled pretraining cannot be called completely held-out inductive when prospective test images/groups overlap its pool.
sha256:8099f83d3796e44584ad,CHECKPOINT_ROOT,checkpoints_VicReg_ImageNet_NEWXX/vicreg_mu_20.0_epoch_32.pth,8099f83d3796e44584ad3e94028c12d38e39376382c3012f70d114ba900116ff,PARTIAL_STATE,UNKNOWN,Directory name is not sufficient provenance,PROVENANCE_UNKNOWN,197,238,Soil unlabeled pretraining cannot be called completely held-out inductive when prospective test images/groups overlap its pool.
sha256:734d20e395e957a61305,CHECKPOINT_ROOT,checkpoints_VicReg_ImageNet_NEWXX/vicreg_mu_20.0_epoch_33.pth,734d20e395e957a613055a6d57c92e195cfa8d9439f96833ad5650786b18a21e,PARTIAL_STATE,UNKNOWN,Directory name is not sufficient provenance,PROVENANCE_UNKNOWN,197,238,Soil unlabeled pretraining cannot be called completely held-out inductive when prospective test images/groups overlap its pool.
sha256:d77eb7079f71d0e8812e,CHECKPOINT_ROOT,checkpoints_VicReg_ImageNet_NEWXX/vicreg_mu_20.0_epoch_34.pth,d77eb7079f71d0e8812e767bb49d10485dd0391472966cc596006165697ac248,PARTIAL_STATE,UNKNOWN,Directory name is not sufficient provenance,PROVENANCE_UNKNOWN,197,238,Soil unlabeled pretraining cannot be called completely held-out inductive when prospective test images/groups overlap its pool.
sha256:06cee4d91344e9303f11,CHECKPOINT_ROOT,checkpoints_VicReg_ImageNet_NEWXX/vicreg_mu_20.0_epoch_35.pth,06cee4d91344e9303f11b4c5e495231e11351c928bae6c4b901d0c5a19d31d95,PARTIAL_STATE,UNKNOWN,Directory name is not sufficient provenance,PROVENANCE_UNKNOWN,197,238,Soil unlabeled pretraining cannot be called completely held-out inductive when prospective test images/groups overlap its pool.
sha256:4f45433f74e302680052,CHECKPOINT_ROOT,checkpoints_VicReg_ImageNet_NEWXX/vicreg_mu_20.0_epoch_36.pth,4f45433f74e3026800528aa5bec52bead3bf48f727f6d86f12c2d6205bf33174,PARTIAL_STATE,UNKNOWN,Directory name is not sufficient provenance,PROVENANCE_UNKNOWN,197,238,Soil unlabeled pretraining cannot be called completely held-out inductive when prospective test images/groups overlap its pool.
sha256:3ff28fa36f6a7a3c776b,CHECKPOINT_ROOT,checkpoints_VicReg_ImageNet_NEWXX/vicreg_mu_20.0_epoch_37.pth,3ff28fa36f6a7a3c776bf35d59b0ffd7dd43952d36d8bb5d771d7a7062cee5e9,PARTIAL_STATE,UNKNOWN,Directory name is not sufficient provenance,PROVENANCE_UNKNOWN,197,238,Soil unlabeled pretraining cannot be called completely held-out inductive when prospective test images/groups overlap its pool.
sha256:8d53a39abab81e5ad99a,CHECKPOINT_ROOT,checkpoints_VicReg_ImageNet_NEWXX/vicreg_mu_20.0_epoch_38.pth,8d53a39abab81e5ad99a3114f0b69359e3c8e917b3509548c5d9d66482cd9b6e,PARTIAL_STATE,UNKNOWN,Directory name is not sufficient provenance,PROVENANCE_UNKNOWN,197,238,Soil unlabeled pretraining cannot be called completely held-out inductive when prospective test images/groups overlap its pool.
sha256:cf6d95798c375416bfaa,CHECKPOINT_ROOT,checkpoints_VicReg_ImageNet_NEWXX/vicreg_mu_20.0_epoch_39.pth,cf6d95798c375416bfaae911b78f05d47544cd3be2a4f0c740f46bb637fb55ca,PARTIAL_STATE,UNKNOWN,Directory name is not sufficient provenance,PROVENANCE_UNKNOWN,197,238,Soil unlabeled pretraining cannot be called completely held-out inductive when prospective test images/groups overlap its pool.
sha256:790a231d5ef8a5c2ed02,CHECKPOINT_ROOT,checkpoints_VicReg_ImageNet_NEWXX/vicreg_mu_20.0_epoch_4.pth,790a231d5ef8a5c2ed02862ea2a164c69bd8d0043c5c630f031669eb1f183755,PARTIAL_STATE,UNKNOWN,Directory name is not sufficient provenance,PROVENANCE_UNKNOWN,197,238,Soil unlabeled pretraining cannot be called completely held-out inductive when prospective test images/groups overlap its pool.
sha256:24d22fbe1950360fe1a6,CHECKPOINT_ROOT,checkpoints_VicReg_ImageNet_NEWXX/vicreg_mu_20.0_epoch_40.pth,24d22fbe1950360fe1a69e45eea445e6f99db4e2b6c70f6c240a4f79fcb4b9e2,PARTIAL_STATE,UNKNOWN,Directory name is not sufficient provenance,PROVENANCE_UNKNOWN,197,238,Soil unlabeled pretraining cannot be called completely held-out inductive when prospective test images/groups overlap its pool.
sha256:d8cb39a2c998253db282,CHECKPOINT_ROOT,checkpoints_VicReg_ImageNet_NEWXX/vicreg_mu_20.0_epoch_41.pth,d8cb39a2c998253db282f46b84ea1e42331b7e9b738a55591a8b6ef016653fe1,PARTIAL_STATE,UNKNOWN,Directory name is not sufficient provenance,PROVENANCE_UNKNOWN,197,238,Soil unlabeled pretraining cannot be called completely held-out inductive when prospective test images/groups overlap its pool.
sha256:7690aa42a813b2da87cc,CHECKPOINT_ROOT,checkpoints_VicReg_ImageNet_NEWXX/vicreg_mu_20.0_epoch_42.pth,7690aa42a813b2da87cce696012319de99c6b52eac777000f2b8efae021db242,PARTIAL_STATE,UNKNOWN,Directory name is not sufficient provenance,PROVENANCE_UNKNOWN,197,238,Soil unlabeled pretraining cannot be called completely held-out inductive when prospective test images/groups overlap its pool.
sha256:5ab1d3ec6e3160f43cbe,CHECKPOINT_ROOT,checkpoints_VicReg_ImageNet_NEWXX/vicreg_mu_20.0_epoch_43.pth,5ab1d3ec6e3160f43cbe6f71e0623023a6007d3c0ee1ec3d85f93e2fead42e11,PARTIAL_STATE,UNKNOWN,Directory name is not sufficient provenance,PROVENANCE_UNKNOWN,197,238,Soil unlabeled pretraining cannot be called completely held-out inductive when prospective test images/groups overlap its pool.
sha256:4237872185725457796d,CHECKPOINT_ROOT,checkpoints_VicReg_ImageNet_NEWXX/vicreg_mu_20.0_epoch_44.pth,4237872185725457796d8858c4f48cf9f8799057ea661c3c8b5f06103367bbfd,PARTIAL_STATE,UNKNOWN,Directory name is not sufficient provenance,PROVENANCE_UNKNOWN,197,238,Soil unlabeled pretraining cannot be called completely held-out inductive when prospective test images/groups overlap its pool.
sha256:4e2995dcc65b29dfc3a4,CHECKPOINT_ROOT,checkpoints_VicReg_ImageNet_NEWXX/vicreg_mu_20.0_epoch_45.pth,4e2995dcc65b29dfc3a4ccb56c10d83472a57cd50b3f38864d09f94d61053e51,PARTIAL_STATE,UNKNOWN,Directory name is not sufficient provenance,PROVENANCE_UNKNOWN,197,238,Soil unlabeled pretraining cannot be called completely held-out inductive when prospective test images/groups overlap its pool.
sha256:37852f84dec7f5c39d8c,CHECKPOINT_ROOT,checkpoints_VicReg_ImageNet_NEWXX/vicreg_mu_20.0_epoch_46.pth,37852f84dec7f5c39d8c3d4c25888c7bcc761c0f7175bc9eca114e9345f0e500,PARTIAL_STATE,UNKNOWN,Directory name is not sufficient provenance,PROVENANCE_UNKNOWN,197,238,Soil unlabeled pretraining cannot be called completely held-out inductive when prospective test images/groups overlap its pool.
sha256:11bb0419783bea5be5ae,CHECKPOINT_ROOT,checkpoints_VicReg_ImageNet_NEWXX/vicreg_mu_20.0_epoch_47.pth,11bb0419783bea5be5ae71bf05e25f13dff1f5d14b9412ee1fc012a179b53959,PARTIAL_STATE,UNKNOWN,Directory name is not sufficient provenance,PROVENANCE_UNKNOWN,197,238,Soil unlabeled pretraining cannot be called completely held-out inductive when prospective test images/groups overlap its pool.
sha256:4426ecc668d4a4c67e0c,CHECKPOINT_ROOT,checkpoints_VicReg_ImageNet_NEWXX/vicreg_mu_20.0_epoch_48.pth,4426ecc668d4a4c67e0c39d58dfe918e2526a00aa318fc1c390d7c7f7888ac3e,PARTIAL_STATE,UNKNOWN,Directory name is not sufficient provenance,PROVENANCE_UNKNOWN,197,238,Soil unlabeled pretraining cannot be called completely held-out inductive when prospective test images/groups overlap its pool.
sha256:68d2c7e723f97114c6dd,CHECKPOINT_ROOT,checkpoints_VicReg_ImageNet_NEWXX/vicreg_mu_20.0_epoch_49.pth,68d2c7e723f97114c6dd46c57daa138de4b4089dd5cbaa28103248bcaa02d68d,PARTIAL_STATE,UNKNOWN,Directory name is not sufficient provenance,PROVENANCE_UNKNOWN,197,238,Soil unlabeled pretraining cannot be called completely held-out inductive when prospective test images/groups overlap its pool.
sha256:2aef514f700ed29500e8,CHECKPOINT_ROOT,checkpoints_VicReg_ImageNet_NEWXX/vicreg_mu_20.0_epoch_5.pth,2aef514f700ed29500e85036f0d9aa800be19b4593a093b2857fe7f42d47320b,PARTIAL_STATE,UNKNOWN,Directory name is not sufficient provenance,PROVENANCE_UNKNOWN,197,238,Soil unlabeled pretraining cannot be called completely held-out inductive when prospective test images/groups overlap its pool.
sha256:7f8be44f02e1261c1a80,CHECKPOINT_ROOT,checkpoints_VicReg_ImageNet_NEWXX/vicreg_mu_20.0_epoch_50.pth,7f8be44f02e1261c1a80e23cd5c88e82f0efb6ac6335220fc561bf2c469a9302,PARTIAL_STATE,UNKNOWN,Directory name is not sufficient provenance,PROVENANCE_UNKNOWN,197,238,Soil unlabeled pretraining cannot be called completely held-out inductive when prospective test images/groups overlap its pool.
sha256:0b68d5ecaad733a12f50,CHECKPOINT_ROOT,checkpoints_VicReg_ImageNet_NEWXX/vicreg_mu_20.0_epoch_51.pth,0b68d5ecaad733a12f50b886ec9d2420f7f2f836f5a97caaa1922f15cc60df1a,PARTIAL_STATE,UNKNOWN,Directory name is not sufficient provenance,PROVENANCE_UNKNOWN,197,238,Soil unlabeled pretraining cannot be called completely held-out inductive when prospective test images/groups overlap its pool.
sha256:874383d1dfec9d0a5f6e,CHECKPOINT_ROOT,checkpoints_VicReg_ImageNet_NEWXX/vicreg_mu_20.0_epoch_52.pth,874383d1dfec9d0a5f6e678e64a0d482fa249ba1f2af59f4204e5cf0d7be8320,PARTIAL_STATE,UNKNOWN,Directory name is not sufficient provenance,PROVENANCE_UNKNOWN,197,238,Soil unlabeled pretraining cannot be called completely held-out inductive when prospective test images/groups overlap its pool.
sha256:187ce4a31c745173c792,CHECKPOINT_ROOT,checkpoints_VicReg_ImageNet_NEWXX/vicreg_mu_20.0_epoch_53.pth,187ce4a31c745173c792119326f9a81e8fd212ae310c90bc1e35186b2e1b6aee,PARTIAL_STATE,UNKNOWN,Directory name is not sufficient provenance,PROVENANCE_UNKNOWN,197,238,Soil unlabeled pretraining cannot be called completely held-out inductive when prospective test images/groups overlap its pool.
sha256:9b92aec9db38fa741c0a,CHECKPOINT_ROOT,checkpoints_VicReg_ImageNet_NEWXX/vicreg_mu_20.0_epoch_54.pth,9b92aec9db38fa741c0aa2c4260ebf0dd4722ece0276defc199a6e0da4990981,PARTIAL_STATE,UNKNOWN,Directory name is not sufficient provenance,PROVENANCE_UNKNOWN,197,238,Soil unlabeled pretraining cannot be called completely held-out inductive when prospective test images/groups overlap its pool.
sha256:47c1ac0bfb4200073017,CHECKPOINT_ROOT,checkpoints_VicReg_ImageNet_NEWXX/vicreg_mu_20.0_epoch_55.pth,47c1ac0bfb420007301730338aebc7fa1593dc1f5cb33b2e0cf6e788925ef3ca,PARTIAL_STATE,UNKNOWN,Directory name is not sufficient provenance,PROVENANCE_UNKNOWN,197,238,Soil unlabeled pretraining cannot be called completely held-out inductive when prospective test images/groups overlap its pool.
sha256:92468bf69b4fd47de226,CHECKPOINT_ROOT,checkpoints_VicReg_ImageNet_NEWXX/vicreg_mu_20.0_epoch_56.pth,92468bf69b4fd47de2268fa226ba006f58a1cf682a5e12c1eb79323e9ed5f8ce,PARTIAL_STATE,UNKNOWN,Directory name is not sufficient provenance,PROVENANCE_UNKNOWN,197,238,Soil unlabeled pretraining cannot be called completely held-out inductive when prospective test images/groups overlap its pool.
sha256:328d9e24dbb11bde1af9,CHECKPOINT_ROOT,checkpoints_VicReg_ImageNet_NEWXX/vicreg_mu_20.0_epoch_57.pth,328d9e24dbb11bde1af9aeedfde4f621d84f577cb7da2ffa044613f738213309,PARTIAL_STATE,UNKNOWN,Directory name is not sufficient provenance,PROVENANCE_UNKNOWN,197,238,Soil unlabeled pretraining cannot be called completely held-out inductive when prospective test images/groups overlap its pool.
sha256:9da7557beb60c75d330f,CHECKPOINT_ROOT,checkpoints_VicReg_ImageNet_NEWXX/vicreg_mu_20.0_epoch_58.pth,9da7557beb60c75d330f675e6538b1cfc45238f34e85b142f82c8c16ba2c153c,PARTIAL_STATE,UNKNOWN,Directory name is not sufficient provenance,PROVENANCE_UNKNOWN,197,238,Soil unlabeled pretraining cannot be called completely held-out inductive when prospective test images/groups overlap its pool.
sha256:52dbe0220571339e197d,CHECKPOINT_ROOT,checkpoints_VicReg_ImageNet_NEWXX/vicreg_mu_20.0_epoch_59.pth,52dbe0220571339e197ddaf2e085a6df40c12b1328390b34bc2cbc6871853519,PARTIAL_STATE,UNKNOWN,Directory name is not sufficient provenance,PROVENANCE_UNKNOWN,197,238,Soil unlabeled pretraining cannot be called completely held-out inductive when prospective test images/groups overlap its pool.
sha256:69636791c92bcb52c662,CHECKPOINT_ROOT,checkpoints_VicReg_ImageNet_NEWXX/vicreg_mu_20.0_epoch_6.pth,69636791c92bcb52c66214ad1ad7d43a7d89b7361ce7c8a07b6d6f84180fcb58,PARTIAL_STATE,UNKNOWN,Directory name is not sufficient provenance,PROVENANCE_UNKNOWN,197,238,Soil unlabeled pretraining cannot be called completely held-out inductive when prospective test images/groups overlap its pool.
sha256:9e919a27891e441eeb16,CHECKPOINT_ROOT,checkpoints_VicReg_ImageNet_NEWXX/vicreg_mu_20.0_epoch_60.pth,9e919a27891e441eeb16dd31ecf1f1287f7cd4961527e08b65458700552ca62f,PARTIAL_STATE,UNKNOWN,Directory name is not sufficient provenance,PROVENANCE_UNKNOWN,197,238,Soil unlabeled pretraining cannot be called completely held-out inductive when prospective test images/groups overlap its pool.
sha256:ab5ea97550ce4945109e,CHECKPOINT_ROOT,checkpoints_VicReg_ImageNet_NEWXX/vicreg_mu_20.0_epoch_61.pth,ab5ea97550ce4945109e3ff3530c67d6f9c57b546ac27844f95e66c673264620,PARTIAL_STATE,UNKNOWN,Directory name is not sufficient provenance,PROVENANCE_UNKNOWN,197,238,Soil unlabeled pretraining cannot be called completely held-out inductive when prospective test images/groups overlap its pool.
sha256:934dd1f939c54ace357f,CHECKPOINT_ROOT,checkpoints_VicReg_ImageNet_NEWXX/vicreg_mu_20.0_epoch_62.pth,934dd1f939c54ace357f121a14b4d59fc02864e0089d2611fa05380079de2d7e,PARTIAL_STATE,UNKNOWN,Directory name is not sufficient provenance,PROVENANCE_UNKNOWN,197,238,Soil unlabeled pretraining cannot be called completely held-out inductive when prospective test images/groups overlap its pool.
sha256:d26b9363fa6be90a45f7,CHECKPOINT_ROOT,checkpoints_VicReg_ImageNet_NEWXX/vicreg_mu_20.0_epoch_63.pth,d26b9363fa6be90a45f76f035935afd01a55e968fc2cff7958e60c4e122e6535,PARTIAL_STATE,UNKNOWN,Directory name is not sufficient provenance,PROVENANCE_UNKNOWN,197,238,Soil unlabeled pretraining cannot be called completely held-out inductive when prospective test images/groups overlap its pool.
sha256:b2eae141fb81f4634866,CHECKPOINT_ROOT,checkpoints_VicReg_ImageNet_NEWXX/vicreg_mu_20.0_epoch_64.pth,b2eae141fb81f4634866584c25b1d3e95b83eb36716eab064872a61db6c3c268,PARTIAL_STATE,UNKNOWN,Directory name is not sufficient provenance,PROVENANCE_UNKNOWN,197,238,Soil unlabeled pretraining cannot be called completely held-out inductive when prospective test images/groups overlap its pool.
sha256:2ed72d1c87e2916ac9c3,CHECKPOINT_ROOT,checkpoints_VicReg_ImageNet_NEWXX/vicreg_mu_20.0_epoch_65.pth,2ed72d1c87e2916ac9c30290cc2e583ced406b5b530b9f641bbe31b6adbbc054,PARTIAL_STATE,UNKNOWN,Directory name is not sufficient provenance,PROVENANCE_UNKNOWN,197,238,Soil unlabeled pretraining cannot be called completely held-out inductive when prospective test images/groups overlap its pool.
