experiment_id,stage,dataset,pretraining,checkpoint,fine_tuning,evaluation,metrics_file,manuscript_table_or_figure,source_notebook_or_script
FINETUNE_ORIGINAL_MU33_429526a0,FINETUNE,soil labeled + unlabeled,ImageNet initialization,checkpoints_Vicreg_original_NEW/vicreg_projector_final_mu_33.0.pth,finetune_mu=33.ipynb,TRAINING_SET_METRICS_ONLY,checkpoints_Vicreg_original_NEW/vicreg_metrics_original_soilnet_mu_33.csv;finetune_new/training_metrics_finetuned_VicReg_mu_33.csv,MISSING_MANUSCRIPT_MAPPING,finetune_mu=33.ipynb
FINETUNE_ORIGINAL_MU40,FINETUNE,soil labeled + unlabeled,ImageNet initialization,MISSING_OR_UNMAPPED,finetune_mu=40.ipynb,TRAINING_SET_METRICS_ONLY,MISSING_OR_UNMAPPED,MISSING_MANUSCRIPT_MAPPING,finetune_mu=40.ipynb
FINETUNE_ORIGINAL_MU20_ddd1d730,FINETUNE,soil labeled + unlabeled,ImageNet initialization,MISSING_OR_UNMAPPED,finetune_new/Finetune_VicReg_mu=20.ipynb,TRAINING_SET_METRICS_ONLY,finetune_new/training_metrics_finetuned_VicReg_mu_20.csv,MISSING_MANUSCRIPT_MAPPING,finetune_new/Finetune_VicReg_mu=20.ipynb
FINETUNE_ORIGINAL_MU23_cb2bc23a,FINETUNE,soil labeled + unlabeled,ImageNet initialization,checkpoints_Vicreg_original_NEW/vicreg_projector_final_mu_23.0.pth,finetune_new/Finetune_VicReg_mu=23.ipynb,TRAINING_SET_METRICS_ONLY,checkpoints_Vicreg_original_NEW/vicreg_metrics_original_soilnet_mu_23.csv;finetune_new/training_metrics_finetuned_VicReg_mu_23.csv,MISSING_MANUSCRIPT_MAPPING,finetune_new/Finetune_VicReg_mu=23.ipynb
FINETUNE_ORIGINAL_MU25_d8ff5f2e,FINETUNE,soil labeled + unlabeled,ImageNet initialization,Best_finetuned_VicReg_mu_25.pth;checkpoints_Vicreg_original_NEW/vicreg_projector_final_mu_25.0.pth,finetune_new/Finetune_VicReg_mu=25.ipynb,TRAINING_SET_METRICS_ONLY,checkpoints_Vicreg_original_NEW/vicreg_metrics_original_soilnet_mu_25.csv;finetune_new/training_metrics_finetuned_VicReg_mu_25.csv,MISSING_MANUSCRIPT_MAPPING,finetune_new/Finetune_VicReg_mu=25.ipynb
FINETUNE_ORIGINAL_MU27_7c93896b,FINETUNE,soil labeled + unlabeled,ImageNet initialization,checkpoints_Vicreg_original_NEW/vicreg_projector_final_mu_27.0.pth,finetune_new/Finetune_VicReg_mu=27.ipynb,TRAINING_SET_METRICS_ONLY,checkpoints_Vicreg_original_NEW/vicreg_metrics_original_soilnet_mu_27.csv;finetune_new/training_metrics_finetuned_VicReg_mu_27.csv,MISSING_MANUSCRIPT_MAPPING,finetune_new/Finetune_VicReg_mu=27.ipynb
FINETUNE_ORIGINAL_MU30_fb894cc6,FINETUNE,soil labeled + unlabeled,ImageNet initialization,checkpoints_Vicreg_original_NEW/vicreg_projector_final_mu_30.0.pth,finetune_new/Finetune_VicReg_mu=30.ipynb,TRAINING_SET_METRICS_ONLY,checkpoints_Vicreg_original_NEW/vicreg_metrics_original_soilnet_mu_30.csv;finetune_new/training_metrics_finetuned_VicReg_mu_30.csv,MISSING_MANUSCRIPT_MAPPING,finetune_new/Finetune_VicReg_mu=30.ipynb
FINETUNE_ORIGINAL_MU33_ad0e9ba2,FINETUNE,soil labeled + unlabeled,ImageNet initialization,checkpoints_Vicreg_original_NEW/vicreg_projector_final_mu_33.0.pth,finetune_new/Finetune_VicReg_mu=33.ipynb,TRAINING_SET_METRICS_ONLY,checkpoints_Vicreg_original_NEW/vicreg_metrics_original_soilnet_mu_33.csv;finetune_new/training_metrics_finetuned_VicReg_mu_33.csv,MISSING_MANUSCRIPT_MAPPING,finetune_new/Finetune_VicReg_mu=33.ipynb
FINETUNE_TINYIMAGENET_MU20_1fb1c782,FINETUNE,soil labeled + unlabeled,TinyImageNet,vicreg_model_final_tinyImageNet_mu_20.0.pth,finetune_new/Finetune_VicReg_TinyImageNet_mu=20.ipynb,TRAINING_SET_METRICS_ONLY,finetune_new/training_metrics_finetuned_VicReg_TinyImageNet_mu_20.csv,MISSING_MANUSCRIPT_MAPPING,finetune_new/Finetune_VicReg_TinyImageNet_mu=20.ipynb
FINETUNE_TINYIMAGENET_MU23_1eac9833,FINETUNE,soil labeled + unlabeled,TinyImageNet,vicreg_model_final_tinyImageNet_mu_23.0.pth,finetune_new/Finetune_VicReg_TinyImageNet_mu=23.ipynb,TRAINING_SET_METRICS_ONLY,finetune_new/training_metrics_finetuned_VicReg_TinyImageNet_mu_23.csv,MISSING_MANUSCRIPT_MAPPING,finetune_new/Finetune_VicReg_TinyImageNet_mu=23.ipynb
FINETUNE_TINYIMAGENET_MU25_8112e278,FINETUNE,soil labeled + unlabeled,TinyImageNet,vicreg_model_final_tinyImageNet_mu_25.0.pth,finetune_new/Finetune_VicReg_TinyImageNet_mu=25.ipynb,TRAINING_SET_METRICS_ONLY,finetune_new/training_metrics_finetuned_VicReg_TinyImageNet_mu_25.csv,MISSING_MANUSCRIPT_MAPPING,finetune_new/Finetune_VicReg_TinyImageNet_mu=25.ipynb
FINETUNE_TINYIMAGENET_MU27_9272316f,FINETUNE,soil labeled + unlabeled,TinyImageNet,vicreg_model_final_tinyImageNet_mu_27.0.pth,finetune_new/Finetune_VicReg_TinyImageNet_mu=27.ipynb,TRAINING_SET_METRICS_ONLY,finetune_new/training_metrics_finetuned_VicReg_TinyImageNet_mu_27.csv,MISSING_MANUSCRIPT_MAPPING,finetune_new/Finetune_VicReg_TinyImageNet_mu=27.ipynb
FINETUNE_TINYIMAGENET_MU30_39eea61e,FINETUNE,soil labeled + unlabeled,TinyImageNet,MISSING_OR_UNMAPPED,finetune_new/Finetune_VicReg_TinyImageNet_mu=30.ipynb,TRAINING_SET_METRICS_ONLY,finetune_new/training_metrics_finetuned_VicReg_TinyImageNet_mu_30.csv,MISSING_MANUSCRIPT_MAPPING,finetune_new/Finetune_VicReg_TinyImageNet_mu=30.ipynb
FINETUNE_TINYIMAGENET_MU33_865261b1,FINETUNE,soil labeled + unlabeled,TinyImageNet,MISSING_OR_UNMAPPED,finetune_new/Finetune_VicReg_TinyImageNet_mu=33.ipynb,TRAINING_SET_METRICS_ONLY,finetune_new/training_metrics_finetuned_VicReg_TinyImageNet_mu_33.csv,MISSING_MANUSCRIPT_MAPPING,finetune_new/Finetune_VicReg_TinyImageNet_mu=33.ipynb
FINETUNE_TINYIMAGENET_MU20_b4e967f4,FINETUNE,soil labeled + unlabeled,TinyImageNet,vicreg_model_final_tinyImageNet_mu_20.0.pth,finetune_tinyImage_mu=20.ipynb,TRAINING_SET_METRICS_ONLY,finetune_new/training_metrics_finetuned_VicReg_TinyImageNet_mu_20.csv,MISSING_MANUSCRIPT_MAPPING,finetune_tinyImage_mu=20.ipynb
FINETUNE_TINYIMAGENET_MU23_c47bf3b0,FINETUNE,soil labeled + unlabeled,TinyImageNet,vicreg_model_final_tinyImageNet_mu_23.0.pth,finetune_tinyImage_mu=23.ipynb,TRAINING_SET_METRICS_ONLY,finetune_new/training_metrics_finetuned_VicReg_TinyImageNet_mu_23.csv,MISSING_MANUSCRIPT_MAPPING,finetune_tinyImage_mu=23.ipynb
FINETUNE_TINYIMAGENET_MU25_cabffb1c,FINETUNE,soil labeled + unlabeled,TinyImageNet,vicreg_model_final_tinyImageNet_mu_25.0.pth,finetune_tinyImage_mu=25.ipynb,TRAINING_SET_METRICS_ONLY,finetune_new/training_metrics_finetuned_VicReg_TinyImageNet_mu_25.csv,MISSING_MANUSCRIPT_MAPPING,finetune_tinyImage_mu=25.ipynb
FINETUNE_TINYIMAGENET_MU27_20a93e91,FINETUNE,soil labeled + unlabeled,TinyImageNet,vicreg_model_final_tinyImageNet_mu_27.0.pth,finetune_tinyImage_mu=27.ipynb,TRAINING_SET_METRICS_ONLY,finetune_new/training_metrics_finetuned_VicReg_TinyImageNet_mu_27.csv,MISSING_MANUSCRIPT_MAPPING,finetune_tinyImage_mu=27.ipynb
FINETUNE_TINYIMAGENET_MU30_7a08a997,FINETUNE,soil labeled + unlabeled,TinyImageNet,MISSING_OR_UNMAPPED,finetune_tinyImage_mu=30.ipynb,TRAINING_SET_METRICS_ONLY,finetune_new/training_metrics_finetuned_VicReg_TinyImageNet_mu_30.csv,MISSING_MANUSCRIPT_MAPPING,finetune_tinyImage_mu=30.ipynb
FINETUNE_TINYIMAGENET_MU33_b5959f46,FINETUNE,soil labeled + unlabeled,TinyImageNet,MISSING_OR_UNMAPPED,finetune_tinyImage_mu=33.ipynb,TRAINING_SET_METRICS_ONLY,finetune_new/training_metrics_finetuned_VicReg_TinyImageNet_mu_33.csv,MISSING_MANUSCRIPT_MAPPING,finetune_tinyImage_mu=33.ipynb
SSL_ORIGINAL_MU2,SSL,soil labeled + unlabeled,ImageNet initialization,MISSING_OR_UNMAPPED,N/A,TRAINING_SET_METRICS_ONLY,MISSING_OR_UNMAPPED,MISSING_MANUSCRIPT_MAPPING,pp_SoiNet_orginal_vicREG-mu=2.ipynb
SSL_ORIGINAL_MU23_a4e18be7,SSL,soil labeled + unlabeled,ImageNet initialization,checkpoints_Vicreg_original_NEW/vicreg_projector_final_mu_23.0.pth,N/A,TRAINING_SET_METRICS_ONLY,checkpoints_Vicreg_original_NEW/vicreg_metrics_original_soilnet_mu_23.csv;finetune_new/training_metrics_finetuned_VicReg_mu_23.csv,MISSING_MANUSCRIPT_MAPPING,pp_SoiNet_orginal_vicREG-mu=23.ipynb
SSL_ORIGINAL_MU25_bd02ba7e,SSL,soil labeled + unlabeled,ImageNet initialization,Best_finetuned_VicReg_mu_25.pth;checkpoints_Vicreg_original_NEW/vicreg_projector_final_mu_25.0.pth,N/A,TRAINING_SET_METRICS_ONLY,checkpoints_Vicreg_original_NEW/vicreg_metrics_original_soilnet_mu_25.csv;finetune_new/training_metrics_finetuned_VicReg_mu_25.csv,MISSING_MANUSCRIPT_MAPPING,pp_SoiNet_orginal_vicREG-mu=25.ipynb
SSL_ORIGINAL_MU27_e143d043,SSL,soil labeled + unlabeled,ImageNet initialization,checkpoints_Vicreg_original_NEW/vicreg_projector_final_mu_27.0.pth,N/A,TRAINING_SET_METRICS_ONLY,checkpoints_Vicreg_original_NEW/vicreg_metrics_original_soilnet_mu_27.csv;finetune_new/training_metrics_finetuned_VicReg_mu_27.csv,MISSING_MANUSCRIPT_MAPPING,pp_SoiNet_orginal_vicREG-mu=27.ipynb
SSL_ORIGINAL_MU30_d0bfb87b,SSL,soil labeled + unlabeled,ImageNet initialization,checkpoints_Vicreg_original_NEW/vicreg_projector_final_mu_30.0.pth,N/A,TRAINING_SET_METRICS_ONLY,checkpoints_Vicreg_original_NEW/vicreg_metrics_original_soilnet_mu_30.csv;finetune_new/training_metrics_finetuned_VicReg_mu_30.csv,MISSING_MANUSCRIPT_MAPPING,pp_SoiNet_orginal_vicREG-mu=30.ipynb
SSL_ORIGINAL_MU33_1b13d872,SSL,soil labeled + unlabeled,ImageNet initialization,checkpoints_Vicreg_original_NEW/vicreg_projector_final_mu_33.0.pth,N/A,TRAINING_SET_METRICS_ONLY,checkpoints_Vicreg_original_NEW/vicreg_metrics_original_soilnet_mu_33.csv;finetune_new/training_metrics_finetuned_VicReg_mu_33.csv,MISSING_MANUSCRIPT_MAPPING,pp_SoiNet_orginal_vicREG-mu=33.ipynb
SSL_ORIGINAL_MU40,SSL,soil labeled + unlabeled,ImageNet initialization,MISSING_OR_UNMAPPED,N/A,TRAINING_SET_METRICS_ONLY,MISSING_OR_UNMAPPED,MISSING_MANUSCRIPT_MAPPING,pp_SoiNet_orginal_vicREG-mu=40.ipynb
SSL_ORIGINAL_MU80,SSL,soil labeled + unlabeled,ImageNet initialization,MISSING_OR_UNMAPPED,N/A,TRAINING_SET_METRICS_ONLY,MISSING_OR_UNMAPPED,MISSING_MANUSCRIPT_MAPPING,pp_SoiNet_orginal_vicREG-mu=80.ipynb
SSL_ORIGINAL_MU20_6033829d,SSL,soil labeled + unlabeled,ImageNet initialization,MISSING_OR_UNMAPPED,N/A,TRAINING_SET_METRICS_ONLY,finetune_new/training_metrics_finetuned_VicReg_mu_20.csv,MISSING_MANUSCRIPT_MAPPING,pp_SoiNet_orginal_vicREG_mu=20.ipynb
DEPLOYMENT_ORIGINAL,DEPLOYMENT,TO_VERIFY,TO_VERIFY,Best_finetuned_VicReg_mu_25.pth;checkpoints_Vicreg_original_NEW/vicreg_projector_final_mu_23.0.pth;checkpoints_Vicreg_original_NEW/vicreg_projector_final_mu_25.0.pth;checkpoints_Vicreg_original_NEW/vicreg_projector_final_mu_27.0.pth;checkpoints_Vicreg_original_NEW/vicreg_projector_final_mu_30.0.pth;checkpoints_Vicreg_original_NEW/vicreg_projector_final_mu_33.0.pth,N/A,NO_FINAL_METRICS_DETECTED,checkpoints_Vicreg_original_NEW/vicreg_metrics_original_soilnet_mu_23.csv;checkpoints_Vicreg_original_NEW/vicreg_metrics_original_soilnet_mu_25.csv;checkpoints_Vicreg_original_NEW/vicreg_metrics_original_soilnet_mu_27.csv;checkpoints_Vicreg_original_NEW/vicreg_metrics_original_soilnet_mu_30.csv;checkpoints_Vicreg_original_NEW/vicreg_metrics_original_soilnet_mu_33.csv;finetune_new/training_metrics_finetuned_VicReg_mu_20.csv;finetune_new/training_metrics_finetuned_VicReg_mu_23.csv;finetune_new/training_metrics_finetuned_VicReg_mu_25.csv;finetune_new/training_metrics_finetuned_VicReg_mu_27.csv;finetune_new/training_metrics_finetuned_VicReg_mu_30.csv;finetune_new/training_metrics_finetuned_VicReg_mu_33.csv;VicReg_all.xlsx,MISSING_MANUSCRIPT_MAPPING,predict_fromtelegram.ipynb
PRETRAIN_TINYIMAGENET_9c44854c,PRETRAIN,TinyImageNet,TinyImageNet,vicreg_model_final_tinyImageNet_mu_20.0.pth;vicreg_model_final_tinyImageNet_mu_23.0.pth;vicreg_model_final_tinyImageNet_mu_25.0.pth;vicreg_model_final_tinyImageNet_mu_27.0.pth,N/A,TRAINING_SET_METRICS_ONLY,finetune_new/training_metrics_finetuned_VicReg_TinyImageNet_mu_20.csv;finetune_new/training_metrics_finetuned_VicReg_TinyImageNet_mu_23.csv;finetune_new/training_metrics_finetuned_VicReg_TinyImageNet_mu_25.csv;finetune_new/training_metrics_finetuned_VicReg_TinyImageNet_mu_27.csv;finetune_new/training_metrics_finetuned_VicReg_TinyImageNet_mu_30.csv;finetune_new/training_metrics_finetuned_VicReg_TinyImageNet_mu_33.csv,MISSING_MANUSCRIPT_MAPPING,SoilNet_pretrain_ImageNet.py
SSL_ORIGINAL_MU20_31d36db0,SSL,soil labeled + unlabeled,ImageNet initialization,MISSING_OR_UNMAPPED,N/A,NO_FINAL_METRICS_DETECTED,finetune_new/training_metrics_finetuned_VicReg_mu_20.csv,MISSING_MANUSCRIPT_MAPPING,VicReg_SoiNet_optimized_mu_20.ipynb
SSL_TINYIMAGENET_MU20,SSL,TinyImageNet,TinyImageNet,vicreg_model_final_tinyImageNet_mu_20.0.pth,N/A,TRAINING_SET_METRICS_ONLY,finetune_new/training_metrics_finetuned_VicReg_TinyImageNet_mu_20.csv,MISSING_MANUSCRIPT_MAPPING,Vicreg_soiNet_tinyImagenet_mu=20.ipynb
SSL_TINYIMAGENET_MU23,SSL,TinyImageNet,TinyImageNet,vicreg_model_final_tinyImageNet_mu_23.0.pth,N/A,TRAINING_SET_METRICS_ONLY,finetune_new/training_metrics_finetuned_VicReg_TinyImageNet_mu_23.csv,MISSING_MANUSCRIPT_MAPPING,Vicreg_soiNet_tinyImagenet_mu=23.ipynb
SSL_TINYIMAGENET_MU25,SSL,TinyImageNet,TinyImageNet,vicreg_model_final_tinyImageNet_mu_25.0.pth,N/A,TRAINING_SET_METRICS_ONLY,finetune_new/training_metrics_finetuned_VicReg_TinyImageNet_mu_25.csv,MISSING_MANUSCRIPT_MAPPING,Vicreg_soiNet_tinyImagenet_mu=25.ipynb
SSL_TINYIMAGENET_MU27,SSL,TinyImageNet,TinyImageNet,vicreg_model_final_tinyImageNet_mu_27.0.pth,N/A,TRAINING_SET_METRICS_ONLY,finetune_new/training_metrics_finetuned_VicReg_TinyImageNet_mu_27.csv,MISSING_MANUSCRIPT_MAPPING,Vicreg_soiNet_tinyImagenet_mu=27.ipynb
SSL_TINYIMAGENET_MU30,SSL,TinyImageNet,TinyImageNet,MISSING_OR_UNMAPPED,N/A,TRAINING_SET_METRICS_ONLY,finetune_new/training_metrics_finetuned_VicReg_TinyImageNet_mu_30.csv,MISSING_MANUSCRIPT_MAPPING,Vicreg_soiNet_tinyImagenet_mu=30.ipynb
SSL_TINYIMAGENET_MU33,SSL,TinyImageNet,TinyImageNet,MISSING_OR_UNMAPPED,N/A,TRAINING_SET_METRICS_ONLY,finetune_new/training_metrics_finetuned_VicReg_TinyImageNet_mu_33.csv,MISSING_MANUSCRIPT_MAPPING,Vicreg_soiNet_tinyImagenet_mu=33.ipynb
