checkpoint_id,sha256,filename,relative_path,state_dict_prefix,reg_head_shape,cls_head_shape,num_classes,light_branch,suspected_mu,suspected_epoch,suspected_notebook,suspected_metrics_csv,training_dataset_count,training_split_known,historical_test_known,data_exposure,selection_basis,lineage_evidence_score,lineage_status,status,notes
sha256:2919012a6a6e585f6a3c,2919012a6a6e585f6a3cb2762415c811abae8119e3196fce15afdf3389ee17c1,vicreg_model_final_tinyImageNet_mu_27.0.pth,Soil_Labeled_Data/soilNet_di chuyen tu o C/checkpoints_VicReg_tinyImagenet/vicreg_model_final_tinyImageNet_mu_27.0.pth,raw_state_dict,2x128,10x128,10,True,27.0,,LEGACY_GITHUB:finetune_tinyImage_mu=27.ipynb,Soil_Labeled_Data/soilNet_di chuyen tu o C/finetune_update/training_metrics_finetuned_VicReg_TinyImageNet_mu_27.csv,2057,False,False,TRAINED_ON_ALL_2057,LAST_EPOCH,5,HIGH_CONFIDENCE_LINEAGE,CANNOT_PROVIDE_PROSPECTIVE_HELDOUT_TEST,No notebook records the checkpoint SHA at save time; filename/path evidence alone is not VERIFIED lineage.
sha256:480318812d920065cfcc,480318812d920065cfcc43d29531dbe71947e610e5ae4f2021e3f83cbdddc8ff,vicreg_model_final_tinyImageNet_mu_30.0.pth,Soil_Labeled_Data/soilNet_di chuyen tu o C/checkpoints_VicReg_tinyImagenet/vicreg_model_final_tinyImageNet_mu_30.0.pth,raw_state_dict,2x128,10x128,10,True,30.0,,LEGACY_GITHUB:finetune_tinyImage_mu=30.ipynb,Soil_Labeled_Data/soilNet_di chuyen tu o C/finetune_update/training_metrics_finetuned_VicReg_TinyImageNet_mu_30.csv,2057,False,False,TRAINED_ON_ALL_2057,LAST_EPOCH,5,HIGH_CONFIDENCE_LINEAGE,CANNOT_PROVIDE_PROSPECTIVE_HELDOUT_TEST,No notebook records the checkpoint SHA at save time; filename/path evidence alone is not VERIFIED lineage.
sha256:87df6bc8978ccd387cd1,87df6bc8978ccd387cd1207b3509d1a5fba26fd5d4d38a0b94e9d926529f8b9b,vicreg_model_final_tinyImageNet_mu_33.0.pth,Soil_Labeled_Data/soilNet_di chuyen tu o C/checkpoints_VicReg_tinyImagenet/vicreg_model_final_tinyImageNet_mu_33.0.pth,raw_state_dict,2x128,10x128,10,True,33.0,,LEGACY_GITHUB:finetune_tinyImage_mu=33.ipynb,Soil_Labeled_Data/soilNet_di chuyen tu o C/finetune_update/training_metrics_finetuned_VicReg_TinyImageNet_mu_33.csv,2057,False,False,TRAINED_ON_ALL_2057,LAST_EPOCH,5,HIGH_CONFIDENCE_LINEAGE,CANNOT_PROVIDE_PROSPECTIVE_HELDOUT_TEST,No notebook records the checkpoint SHA at save time; filename/path evidence alone is not VERIFIED lineage.
sha256:9ecab98fc4b0ba220f00,9ecab98fc4b0ba220f00361c011853456adce5900e9daba604c3ac359f25f020,Best_finetuned_VicReg_mu_20.pth,Soil_Labeled_Data/soilNet_di chuyen tu o C/finetune_update/Best_finetuned_VicReg_mu_20.pth,raw_state_dict,2x128,10x128,10,True,20,,LEGACY_GITHUB:finetune_new/Finetune_VicReg_mu=20.ipynb;DATA_ROOT:Soil_Labeled_Data/soilNet_di chuyen tu o C/finetune_update/.ipynb_checkpoints/Finetune_VicReg_mu=20-checkpoint.ipynb;DATA_ROOT:Soil_Labeled_Data/soilNet_di chuyen tu o C/finetune_update/Finetune_VicReg_mu=20.ipynb,Soil_Labeled_Data/soilNet_di chuyen tu o C/finetune_update/training_metrics_finetuned_VicReg_mu_20.csv,2057,False,False,TRAINED_ON_ALL_2057,TRAIN_METRIC,5,HIGH_CONFIDENCE_LINEAGE,TRAINING_SELECTED_CHECKPOINT,No notebook records the checkpoint SHA at save time; filename/path evidence alone is not VERIFIED lineage.
sha256:b041238df27a184e6b6c,b041238df27a184e6b6c5e2a58feedd8f9f6b230d8bedc5003e04b22327185c0,Best_finetuned_VicReg_mu_23.pth,Soil_Labeled_Data/soilNet_di chuyen tu o C/finetune_update/Best_finetuned_VicReg_mu_23.pth,raw_state_dict,2x128,10x128,10,True,23,,LEGACY_GITHUB:finetune_new/Finetune_VicReg_mu=23.ipynb;DATA_ROOT:Soil_Labeled_Data/soilNet_di chuyen tu o C/finetune_update/.ipynb_checkpoints/Finetune_VicReg_mu=23-checkpoint.ipynb;DATA_ROOT:Soil_Labeled_Data/soilNet_di chuyen tu o C/finetune_update/Finetune_VicReg_mu=23.ipynb,Soil_Labeled_Data/soilNet_di chuyen tu o C/finetune_update/training_metrics_finetuned_VicReg_mu_23.csv,2057,False,False,TRAINED_ON_ALL_2057,TRAIN_METRIC,5,HIGH_CONFIDENCE_LINEAGE,TRAINING_SELECTED_CHECKPOINT,No notebook records the checkpoint SHA at save time; filename/path evidence alone is not VERIFIED lineage.
sha256:04ef87796b709daea2ab,04ef87796b709daea2ab7b5f728db015e0d09db8105eb3d3b06e3e451105bbd6,Best_finetuned_VicReg_mu_25.pth,Soil_Labeled_Data/soilNet_di chuyen tu o C/finetune_update/Best_finetuned_VicReg_mu_25.pth,raw_state_dict,2x128,10x128,10,True,25,,LEGACY_GITHUB:finetune_new/Finetune_VicReg_mu=25.ipynb;DATA_ROOT:Soil_Labeled_Data/soilNet_di chuyen tu o C/finetune_update/.ipynb_checkpoints/Finetune_VicReg_mu=25-checkpoint.ipynb;DATA_ROOT:Soil_Labeled_Data/soilNet_di chuyen tu o C/finetune_update/Finetune_VicReg_mu=25.ipynb,Soil_Labeled_Data/soilNet_di chuyen tu o C/finetune_update/training_metrics_finetuned_VicReg_mu_25.csv,2057,False,False,TRAINED_ON_ALL_2057,TRAIN_METRIC,5,HIGH_CONFIDENCE_LINEAGE,TRAINING_SELECTED_CHECKPOINT,No notebook records the checkpoint SHA at save time; filename/path evidence alone is not VERIFIED lineage.
sha256:c14cc5102545ddfbd0be,c14cc5102545ddfbd0be60e611138309231ee185597c415043bb5f9dce188971,Best_finetuned_VicReg_mu_27.pth,Soil_Labeled_Data/soilNet_di chuyen tu o C/finetune_update/Best_finetuned_VicReg_mu_27.pth,raw_state_dict,2x128,10x128,10,True,27,,LEGACY_GITHUB:finetune_new/Finetune_VicReg_mu=27.ipynb;DATA_ROOT:Soil_Labeled_Data/soilNet_di chuyen tu o C/finetune_update/.ipynb_checkpoints/Finetune_VicReg_mu=27-checkpoint.ipynb;DATA_ROOT:Soil_Labeled_Data/soilNet_di chuyen tu o C/finetune_update/Finetune_VicReg_mu=27.ipynb,Soil_Labeled_Data/soilNet_di chuyen tu o C/finetune_update/training_metrics_finetuned_VicReg_mu_27.csv,2057,False,False,TRAINED_ON_ALL_2057,TRAIN_METRIC,5,HIGH_CONFIDENCE_LINEAGE,TRAINING_SELECTED_CHECKPOINT,No notebook records the checkpoint SHA at save time; filename/path evidence alone is not VERIFIED lineage.
sha256:1e1ca8c55be4f0707edc,1e1ca8c55be4f0707edc14187d855e561d154686f4386f93e6a2b1e97f08598d,Best_finetuned_VicReg_mu_30.pth,Soil_Labeled_Data/soilNet_di chuyen tu o C/finetune_update/Best_finetuned_VicReg_mu_30.pth,raw_state_dict,2x128,10x128,10,True,30,,LEGACY_GITHUB:finetune_new/Finetune_VicReg_mu=30.ipynb;DATA_ROOT:Soil_Labeled_Data/soilNet_di chuyen tu o C/finetune_update/.ipynb_checkpoints/Finetune_VicReg_mu=30-checkpoint.ipynb;DATA_ROOT:Soil_Labeled_Data/soilNet_di chuyen tu o C/finetune_update/Finetune_VicReg_mu=30.ipynb,Soil_Labeled_Data/soilNet_di chuyen tu o C/finetune_update/training_metrics_finetuned_VicReg_mu_30.csv,2057,False,False,TRAINED_ON_ALL_2057,TRAIN_METRIC,5,HIGH_CONFIDENCE_LINEAGE,TRAINING_SELECTED_CHECKPOINT,No notebook records the checkpoint SHA at save time; filename/path evidence alone is not VERIFIED lineage.
sha256:b8375740dcf7c86541d0,b8375740dcf7c86541d00a282240e7c75eb786b3259177c27dbf0a5f18e7a4e1,Best_finetuned_VicReg_mu_33.pth,Soil_Labeled_Data/soilNet_di chuyen tu o C/finetune_update/Best_finetuned_VicReg_mu_33.pth,raw_state_dict,2x128,10x128,10,True,33,,LEGACY_GITHUB:finetune_new/Finetune_VicReg_mu=33.ipynb;DATA_ROOT:Soil_Labeled_Data/soilNet_di chuyen tu o C/finetune_update/.ipynb_checkpoints/Finetune_VicReg_mu=33-checkpoint.ipynb;DATA_ROOT:Soil_Labeled_Data/soilNet_di chuyen tu o C/finetune_update/Finetune_VicReg_mu=33.ipynb,Soil_Labeled_Data/soilNet_di chuyen tu o C/finetune_update/training_metrics_finetuned_VicReg_mu_33.csv,2057,False,False,TRAINED_ON_ALL_2057,TRAIN_METRIC,5,HIGH_CONFIDENCE_LINEAGE,TRAINING_SELECTED_CHECKPOINT,No notebook records the checkpoint SHA at save time; filename/path evidence alone is not VERIFIED lineage.
sha256:ea91a0d6daf19f43e3d4,ea91a0d6daf19f43e3d46f4c0c6c7cd2917c03a93fd8edb2a57c56d032fdde7d,Best_finetuned_VicReg_TinyImageNet_mu_20.pth,Soil_Labeled_Data/soilNet_di chuyen tu o C/finetune_update/Best_finetuned_VicReg_TinyImageNet_mu_20.pth,raw_state_dict,2x128,10x128,10,True,20,,LEGACY_GITHUB:finetune_new/Finetune_VicReg_TinyImageNet_mu=20.ipynb;DATA_ROOT:Soil_Labeled_Data/soilNet_di chuyen tu o C/finetune_update/.ipynb_checkpoints/Finetune_VicReg_TinyImageNet_mu=20-checkpoint.ipynb;DATA_ROOT:Soil_Labeled_Data/soilNet_di chuyen tu o C/finetune_update/.ipynb_checkpoints/Finetune_VicReg_TinyImageNet_mu=23-checkpoint.ipynb;DATA_ROOT:Soil_Labeled_Data/soilNet_di chuyen tu o C/finetune_update/Finetune_VicReg_TinyImageNet_mu=20.ipynb,Soil_Labeled_Data/soilNet_di chuyen tu o C/finetune_update/training_metrics_finetuned_VicReg_TinyImageNet_mu_20.csv,2057,False,False,TRAINED_ON_ALL_2057,TRAIN_METRIC,5,HIGH_CONFIDENCE_LINEAGE,TRAINING_SELECTED_CHECKPOINT,No notebook records the checkpoint SHA at save time; filename/path evidence alone is not VERIFIED lineage.
sha256:4b166e851277f89fbdca,4b166e851277f89fbdcab0b327c024ee8c72d8f96b042194b9ffd45624e82407,Best_finetuned_VicReg_TinyImageNet_mu_23.pth,Soil_Labeled_Data/soilNet_di chuyen tu o C/finetune_update/Best_finetuned_VicReg_TinyImageNet_mu_23.pth,raw_state_dict,2x128,10x128,10,True,23,,LEGACY_GITHUB:finetune_new/Finetune_VicReg_TinyImageNet_mu=23.ipynb;DATA_ROOT:Soil_Labeled_Data/soilNet_di chuyen tu o C/finetune_update/Finetune_VicReg_TinyImageNet_mu=23.ipynb,Soil_Labeled_Data/soilNet_di chuyen tu o C/finetune_update/training_metrics_finetuned_VicReg_TinyImageNet_mu_23.csv,2057,False,False,TRAINED_ON_ALL_2057,TRAIN_METRIC,5,HIGH_CONFIDENCE_LINEAGE,TRAINING_SELECTED_CHECKPOINT,No notebook records the checkpoint SHA at save time; filename/path evidence alone is not VERIFIED lineage.
sha256:9569f31e877280391ce1,9569f31e877280391ce1d9cb9b446e764e2c3ec5f0a55cbf7086391452aca522,Best_finetuned_VicReg_TinyImageNet_mu_25.pth,Soil_Labeled_Data/soilNet_di chuyen tu o C/finetune_update/Best_finetuned_VicReg_TinyImageNet_mu_25.pth,raw_state_dict,2x128,10x128,10,True,25,,LEGACY_GITHUB:finetune_new/Finetune_VicReg_TinyImageNet_mu=25.ipynb;DATA_ROOT:Soil_Labeled_Data/soilNet_di chuyen tu o C/finetune_update/.ipynb_checkpoints/Finetune_VicReg_TinyImageNet_mu=25-checkpoint.ipynb;DATA_ROOT:Soil_Labeled_Data/soilNet_di chuyen tu o C/finetune_update/Finetune_VicReg_TinyImageNet_mu=25.ipynb,Soil_Labeled_Data/soilNet_di chuyen tu o C/finetune_update/training_metrics_finetuned_VicReg_TinyImageNet_mu_25.csv,2057,False,False,TRAINED_ON_ALL_2057,TRAIN_METRIC,5,HIGH_CONFIDENCE_LINEAGE,TRAINING_SELECTED_CHECKPOINT,No notebook records the checkpoint SHA at save time; filename/path evidence alone is not VERIFIED lineage.
sha256:ce182aa77a2e1f5b0080,ce182aa77a2e1f5b00802f10ccd22acee7c1b8fe41e06141bccb221988f09127,Best_finetuned_VicReg_TinyImageNet_mu_27.pth,Soil_Labeled_Data/soilNet_di chuyen tu o C/finetune_update/Best_finetuned_VicReg_TinyImageNet_mu_27.pth,raw_state_dict,2x128,10x128,10,True,27,,LEGACY_GITHUB:finetune_new/Finetune_VicReg_TinyImageNet_mu=27.ipynb;DATA_ROOT:Soil_Labeled_Data/soilNet_di chuyen tu o C/finetune_update/.ipynb_checkpoints/Finetune_VicReg_TinyImageNet_mu=27-checkpoint.ipynb;DATA_ROOT:Soil_Labeled_Data/soilNet_di chuyen tu o C/finetune_update/Finetune_VicReg_TinyImageNet_mu=27.ipynb,Soil_Labeled_Data/soilNet_di chuyen tu o C/finetune_update/training_metrics_finetuned_VicReg_TinyImageNet_mu_27.csv,2057,False,False,TRAINED_ON_ALL_2057,TRAIN_METRIC,5,HIGH_CONFIDENCE_LINEAGE,TRAINING_SELECTED_CHECKPOINT,No notebook records the checkpoint SHA at save time; filename/path evidence alone is not VERIFIED lineage.
sha256:77747b41967faa23fc10,77747b41967faa23fc101e92372b55ca6467e37a2324dc041ab2634471b6ec82,Best_finetuned_VicReg_TinyImageNet_mu_30.pth,Soil_Labeled_Data/soilNet_di chuyen tu o C/finetune_update/Best_finetuned_VicReg_TinyImageNet_mu_30.pth,raw_state_dict,2x128,10x128,10,True,30,,LEGACY_GITHUB:finetune_new/Finetune_VicReg_TinyImageNet_mu=30.ipynb;DATA_ROOT:Soil_Labeled_Data/soilNet_di chuyen tu o C/finetune_update/.ipynb_checkpoints/Finetune_VicReg_TinyImageNet_mu=30-checkpoint.ipynb;DATA_ROOT:Soil_Labeled_Data/soilNet_di chuyen tu o C/finetune_update/Finetune_VicReg_TinyImageNet_mu=30.ipynb,Soil_Labeled_Data/soilNet_di chuyen tu o C/finetune_update/training_metrics_finetuned_VicReg_TinyImageNet_mu_30.csv,2057,False,False,TRAINED_ON_ALL_2057,TRAIN_METRIC,5,HIGH_CONFIDENCE_LINEAGE,TRAINING_SELECTED_CHECKPOINT,No notebook records the checkpoint SHA at save time; filename/path evidence alone is not VERIFIED lineage.
sha256:e6bf990dca8abdeb4d3b,e6bf990dca8abdeb4d3be842f8ac9ab03bf6152541d8d06c9084cf26f3d79225,Best_finetuned_VicReg_TinyImageNet_mu_33.pth,Soil_Labeled_Data/soilNet_di chuyen tu o C/finetune_update/Best_finetuned_VicReg_TinyImageNet_mu_33.pth,raw_state_dict,2x128,10x128,10,True,33,,LEGACY_GITHUB:finetune_new/Finetune_VicReg_TinyImageNet_mu=33.ipynb;DATA_ROOT:Soil_Labeled_Data/soilNet_di chuyen tu o C/finetune_update/.ipynb_checkpoints/Finetune_VicReg_TinyImageNet_mu=33-checkpoint.ipynb;DATA_ROOT:Soil_Labeled_Data/soilNet_di chuyen tu o C/finetune_update/Finetune_VicReg_TinyImageNet_mu=33.ipynb,Soil_Labeled_Data/soilNet_di chuyen tu o C/finetune_update/training_metrics_finetuned_VicReg_TinyImageNet_mu_33.csv,2057,False,False,TRAINED_ON_ALL_2057,TRAIN_METRIC,5,HIGH_CONFIDENCE_LINEAGE,TRAINING_SELECTED_CHECKPOINT,No notebook records the checkpoint SHA at save time; filename/path evidence alone is not VERIFIED lineage.
sha256:7deb4cd4f16113fcffc6,7deb4cd4f16113fcffc64f656b81d362bada4e272f1876896093dcb684a1c890,SoilNet_best.pth,Soil_Labeled_Data/soilNet_di chuyen tu o C/Model/SoilNet_best.pth,raw_state_dict,2x128,10x128,10,True,,,UNMAPPED,Soil_Labeled_Data/labels.csv;Soil_Labeled_Data/soilNet_di chuyen tu o C/checkpoints_VicReg/vicreg_metrics.csv;Soil_Labeled_Data/soilNet_di chuyen tu o C/Experiment 2 VicReg/Results/SoilNet_orginal_20_epoch_VicReg_finetuneda.csv;Soil_Labeled_Data/soilNet_di chuyen tu o C/Experiment 2 VicReg/Results/SoilNet_orginal_50_epoch_VicReg_finetuned.csv;Soil_Labeled_Data/soilNet_di chuyen tu o C/Experiment 2 VicReg/Results/SoilNet_pretrained_20_epoch_VicReg_finetuned.csv;Soil_Labeled_Data/soilNet_di chuyen tu o C/Experiment 2 VicReg/Results/SoilNet_pretrained_50_epoch_VicReg_finetuned.csv;Soil_Labeled_Data/soilNet_di chuyen tu o C/Experiment 3 SOTA/Results/Result SOTA model.csv;Soil_Labeled_Data/soilNet_di chuyen tu o C/Experiment 4 Classifier/Result/Classifier_cls_reg_features.csv;Soil_Labeled_Data/soilNet_di chuyen tu o C/Experiment 4 Classifier/Result/Classifier_cls_reg_features_new.xlsx;Soil_Labeled_Data/soilNet_di chuyen tu o C/Experiment 4 Classifier/Result/Classifier_concat.csv;Soil_Labeled_Data/soilNet_di chuyen tu o C/finetune_update/training_metrics_finetuned_VicReg_mu_20.csv;Soil_Labeled_Data/soilNet_di chuyen tu o C/finetune_update/training_metrics_finetuned_VicReg_mu_23.csv;Soil_Labeled_Data/soilNet_di chuyen tu o C/finetune_update/training_metrics_finetuned_VicReg_mu_25.csv;Soil_Labeled_Data/soilNet_di chuyen tu o C/finetune_update/training_metrics_finetuned_VicReg_mu_27.csv;Soil_Labeled_Data/soilNet_di chuyen tu o C/finetune_update/training_metrics_finetuned_VicReg_mu_30.csv;Soil_Labeled_Data/soilNet_di chuyen tu o C/finetune_update/training_metrics_finetuned_VicReg_mu_33.csv,UNKNOWN,False,False,UNKNOWN_EXPOSURE,UNKNOWN,3,AMBIGUOUS,EXPOSURE_UNKNOWN,No notebook records the checkpoint SHA at save time; filename/path evidence alone is not VERIFIED lineage.
